ID,N13_01,N13_02,N13_03,N13_04,N13_05,N13_06,N13_07,N13_08,N13_09,N13_10,N13_11,N13_13,N13_14,N13_15,N13_16,N13_17,N13_18,N14_01,N14_02,N14_03,N14_04,N14_05,N14_06,N14_07,N14_08,N14_09,N14_10,N14_11,N14_12,N14_13,N15_01,N15_02,N15_03,N15_04,N15_05,N15_06,N15_07,N15_08,N15_09,N15_10,N15_11,N15_12,N15_13,N15_14,N15_15,N15_16,N15_17,N15_18,N16_01,N16_02,N16_03,N16_04,N16_05,N16_06,N16_07,N16_08,N16_09,N16_10,N16_11,N16_12,N16_13,N16_14,N16_15,N16_16,N16_17,N16_18,N16_19,N17_01,N17_02,N17_03,N17_04,N17_05,N17_06,N17_07,N17_08
,E,A,O,G,M,O,V,G,G,O,G,G,G,O,G,O,O,G,O,G,G,O,O,O,A,A,G,G,O,GG,G,G,G,G,A,A,G,A,G,O,L,G,G,G,G,A,G,G,G,G,A,O,G,A,G,G,G,A,G,A,G,O,O,G,O,O,G,O,A,G,O,G,G,G,DNET
MAPK8,51.19,229.76,167.99,74.14,115.74,320.99,181.61,255.76,60.54,132.99,58.44,154.76,91.67,158.72,62.27,212.9,199.56,90.07,211.92,141.85,31.89,406.48,237.98,441.92,140.34,212.62,198.52,59.49,278.41,96.41,50.34,72.58,133.66,169.65,356.34,183.68,313.49,242.26,138.85,586.36,137.47,176.37,330.88,57.36,105.63,231.76,83.24,181.49,109.68,99.63,359.09,580.47,213.93,377.24,99.34,331.21,59.93,284.89,105.01,422.21,125.41,197.86,705.94,146.63,320.93,225.52,93.06,456.19,495.27,120.52,190.94,303.15,57.79,112.88,321.4
MDH1,211.79,492.11,285,250.92,432.97,625.47,801.68,250.06,153.06,621.84,282.49,256.29,318.89,264.71,176.51,332.33,867.92,360.35,550.09,356.86,160.31,409.16,806.81,784.61,695.96,330.82,673.34,397.35,1005.81,626.71,186.86,397.28,517.01,839.95,320.02,300.57,417.54,557.88,303.45,895.02,647.18,436.01,425.69,340.38,190.27,611.39,307.88,348.04,589.68,397.54,1007.71,604.81,634.29,781.26,358.13,475.02,221.19,403.52,392.76,502.96,392.83,523.98,555.67,334.08,512.1,674.07,322.34,481.84,458.55,492.03,666.21,373.56,332.7,393.22,715.4
MDH2,655.66,449.34,1712.25,399.65,574.73,670.83,797,559.73,300.52,491.04,346.19,943.85,693.26,267.57,742.29,278.1,639.61,1002.73,578.74,803.18,229.45,666.61,570.01,687.65,441.16,556.81,389.01,761.82,762.85,1684.98,243.75,631.02,593.26,674.97,852.11,537.09,1054.22,585.61,1027.3,847.64,595.78,1411.05,917.74,482.67,347.76,518.16,737.41,914.88,801.12,733.06,733.49,1406.4,879.51,922.07,784.14,812.54,436.73,1104.75,551.79,676.72,1081.06,495.35,627.53,547.69,683.62,1693.31,896.12,665.94,874.12,874.05,908.19,884.36,794.42,1073.61,690.79
MERTK,50.83,395.22,67.75,242.14,208.37,1269,861.5,219.56,91.66,1331.18,194.88,245.57,349.79,209.53,331.33,597.55,1065.98,200.42,278.56,248.06,182.5,961.34,1137.48,432.73,510.76,1249.59,1751.97,181.34,419.77,535.53,65.5,649.21,258.99,557.37,651.85,870.44,372.79,1898.77,622.25,143.51,2186.74,282.23,520.44,301.71,363.84,1192.86,253.46,333.53,483.86,710.2,548.05,155.09,1300.27,876.57,453.31,542.64,146.72,456.7,132.01,1173.13,242.38,1948.34,1084.2,712.46,1167.71,437.81,343.74,1120.47,777.83,343.64,858.4,916.11,237.78,397.24,377.39
MET control intron 19_FASTA,55.02,96.28,120.26,48.45,42.79,158.53,81.79,62.89,31.31,37.83,18.06,80.35,154.77,13.15,71.99,56.93,81.65,96.23,49.89,180.04,55.37,81.9,238.2,162.33,82.44,157.55,36.28,82.95,296.76,216.4,95.93,22.74,36.98,62.12,38.51,6.65,298.44,135.3,113.68,73.22,266.28,77.29,135.31,67.15,50.99,18.43,121.25,113.43,430.7,108.57,210.79,176.32,329.02,120.42,188.56,129.93,88.82,92.5,20.1,222.04,293.49,45.47,815.64,104.1,172.99,183.66,107.57,67.66,470.41,366.89,197.52,273.11,300.73,227.37,116.34
MET control intron 1_FASTA,0,3.74,1.84,4.51,55.62,0,0,5.59,1.9,2.29,4.25,15.41,0,0,27,2.15,7.2,0,0,69.11,53.15,0,4.43,2.14,3.83,0,0,2.86,0,0.93,53.64,5.68,7.92,4.28,0,2.22,0,0,0,0,0,0,0,4.55,0,0,0,0,2.59,0,81.56,0,0,1.97,12.26,16.54,10.7,0,0,2.23,0,2.02,0,6.72,0,0,2.5,3.01,0,0,0,0,4.42,5.35,7.27
MET control intron 2_FASTA,0,3.74,0,9.01,62.04,1.97,0,0,9.49,0,8.5,35.22,16.67,0,25.2,0,4.8,0,0,96.39,17.72,0,2.22,2.14,11.5,5.68,0,2.86,2.27,0,35.07,11.37,10.57,4.28,0,0,5.1,2.55,5.41,0,18.36,7.03,4.92,18.21,0,2.17,2.33,4.58,7.76,0,150.56,2.32,5.8,3.95,24.53,51.97,19.26,0,0,0,2.86,8.08,6.32,6.72,2.98,0,5,0,0,3.32,0,0,17.69,13.37,72.71
MET delta 4-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET delta14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET delta7-8,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET full,0,0.25,0,1.5,11.27,0,0.12,0.56,0.38,0,0.57,2.49,1.27,0,5.64,0,0.16,0,0.16,5.88,7.09,0,0.59,0.14,1.28,0.19,0.17,0.76,2.57,0.87,3.3,1.26,2.29,2.86,0.3,0,0.34,0,0,0,0.52,2.03,0.49,1.52,0.35,0,0,0.15,2.76,0,25.85,0.15,0.97,0.39,7.77,1.57,1.78,0.15,0,0.07,0.19,0.54,0,0.9,0.4,0.18,1,0.2,0,0.44,0,0.68,0.79,2.85,0
MET var1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET var2,4.78,7.48,9.18,70.98,459.96,5.91,13.94,19.57,15.66,6.88,13.81,231.15,38.1,0.94,190.77,1.07,10.81,15.4,3.56,235.96,159.46,0,9.97,12.82,55.6,0.71,6.48,54.34,70.79,16.72,78.91,42.16,52.83,104.96,5.66,0,22.96,7.66,8.12,5.23,20.99,75.54,13.53,62.6,3.92,5.42,2.33,6.87,33.63,3.83,750.31,4.64,8.7,55.27,171.7,56.7,113.97,2.31,17.58,4.46,10.02,12.13,7.9,20.15,17.9,13.5,52.54,4.51,3.15,18.26,8.23,17.07,5.9,69.55,87.26
MET var2 delta10,0,0.93,0,1.13,6.42,0,0,0,0,0,0,2.2,2.38,0,1.8,0,0,0,0,4.55,6.64,0,0,0,0,0,0,2.86,0,0,26.82,0,2.64,2.68,0,0,0,0,0,0,1.31,0,0,2.28,0,0,0,0,3.88,0,1.25,1.16,0,0,15.33,0,2.14,0,0,0,0,0,0,3.36,0,0,1.25,0,0,0,0,0,1.47,2.67,0
MST1R (RON),0.24,2.43,1.01,0.23,200.35,0.59,1.3,3.07,0.38,1.26,0.74,0.77,1.67,0.56,1.26,1.72,2.04,0.64,2.02,2.09,1.33,2.91,1.55,1.17,0.19,1.14,2.07,0,2.49,0.37,0,0,1.06,0.96,1.47,0.89,1.53,0.89,0.81,0.94,1.97,0.35,2.09,0.57,0,3.14,0,1.15,0.52,0,1.76,0.7,0.58,1.97,0.92,1.42,0.21,0.92,0.5,2.57,1.43,0.61,3.32,0.45,1.94,1.62,1.25,2.11,2.36,0.83,0.82,2.22,0,1.2,2.91
MYC,222.06,1348.75,1957.68,621.58,934.89,1407.37,160.48,1250.21,372.07,683.69,144.04,1307.14,531.65,284.26,639.6,498.05,1069.69,540.04,863.6,1169.96,440.49,1972.28,415.95,554.74,1223.21,1343.33,443.32,1259.61,1249.71,246.74,438.97,1953.48,289.53,108.53,2895.86,1631.51,867.11,924.54,465.99,935.55,979.41,586.85,263.37,169.2,196.25,936.12,701.98,377.08,351.37,799.47,426.32,1721.46,567.21,1015.97,790.86,233.88,564.57,1615.86,123.09,1898.56,400.55,325.72,899.76,2361.42,463.47,3040.88,581.38,664.25,4821.59,371.87,652.31,570.88,276.65,1137.76,245.61
NAMPT,511.18,3717.16,517.38,11225.69,1900.15,984.24,520.3,1233.22,5437.01,325.6,3904.6,1380.06,10849.53,204.74,17743.98,529.56,306.18,3362.2,324.3,12025.45,10213.08,787.09,1300.01,460.93,2340.58,916.89,444.21,2198.37,621.38,1998.91,30575.05,2801.11,1873.29,535.09,358.38,496.99,917.25,1443.86,4147.89,555.19,1363.65,682.51,1809.9,9070.25,6235.03,292.47,473.81,1720.23,1372.8,3274.05,1079.54,482.8,2367.48,1007.94,4565.92,887.07,15445.99,547.81,652.4,486.48,524.28,351.05,800.15,6563.11,415.19,1054.42,4195.42,662.78,439.89,3764.14,658.68,2406.78,1395.43,1621.58,378.84
NAPRT1,3.59,10.75,2.75,4.51,32.09,15.26,19.05,1.4,0.95,28.09,3.72,31.37,8.93,13.62,0.9,4.03,13.21,2.57,28.51,10.68,22.7,61.96,8.03,13.88,14.38,7.45,10.37,9.3,9.63,6.04,2.06,5.21,5.94,9.64,23.22,33.24,14.67,11.49,8.12,6.28,29.84,8.78,20.91,0.57,1.31,19.51,6.41,13.18,13.58,5.75,6.9,12.76,3.99,5.43,3.83,11.22,5.35,2.89,7.54,22.87,7.52,0.51,11.46,15.11,12.68,18.91,3.75,4.51,0.79,3.32,9.6,9.39,7.37,11.03,9.09
NOX1,0,0.19,0.73,0,2.35,0.39,0,0,0,0,0,0,0,0.38,0,0,0.48,0,0,0,0.89,0.43,0.44,0,0.77,0,1.04,0,0,0,0,0,0,1.29,0,0,1.02,0.51,0.54,0.84,0,0,0.49,0,0,0.43,0,0,0.26,0,0,0.46,0,0.39,0.61,0.47,0,0.46,0,0,0,0.4,0,0,0,0,0,0,0,0.66,4.94,0,0,0,0
NOX3,0,0,0,0,0,0,0,0.28,0,0,1.7,0,0,0,0,1.29,0,0,5.7,0.18,0,0,0.44,1.71,0,0,0.52,0.57,0,0,0,0,0.53,0,0.45,0,1.02,0,0,3.35,0,0,0.49,0,0,0,0,0,0,0,1,2.78,0.58,0,0,1.18,0,0.46,0,0.89,0.57,0.4,0,0.22,1.19,0,0.25,3.01,0,0,0.27,1.37,0,0.53,0
NOX4,46.41,54.78,39.11,20.96,35.51,95.31,13.01,86.09,16.7,20.64,86.28,51.51,112.63,7.89,55.07,12.89,28.34,30.28,7.6,110.02,17.72,16.38,39.88,61.51,8.44,15.33,7.78,57.78,62.3,38.27,11.55,24.44,106.98,27.42,14.95,85.08,235.69,20.42,140.2,339.52,71.09,100.25,44.77,127.01,152.44,22.98,59.93,142.99,90.02,58.25,66.75,12.99,460.05,39.48,57.03,149.07,16.69,64.28,31.15,52.22,149.47,36.78,90.1,179.77,97.83,91.83,110.58,24.66,13.84,148.41,42.8,66.91,71.94,189.39,111.98
NQO1,39.71,43,65.55,159.77,225.91,96.89,169.9,203.21,39.09,74.29,31.45,118,73.34,73.82,143.08,58.43,98.7,52.61,34.69,165.31,29.23,15.09,1084.85,230.46,32.21,36.34,43.02,72.65,166.5,97.15,27.03,189.3,816.73,226.63,45.31,38.78,145.39,89.86,140.47,88.91,130.91,149.43,97.17,127.01,43.4,44.23,101.66,108.85,496.14,187.26,239.65,107.18,867.91,52.31,177.83,239.07,61,92.5,101.49,96.4,100.79,278.09,87.25,271.33,80.83,199.05,109.83,46.61,17.62,177.96,181.61,116.75,79.9,206.78,132.34
NTRK1,0.96,1.12,1.84,2.25,2.57,10.24,1.86,1.12,0.76,2.75,0.85,2.64,2.38,0.38,0.72,3.44,3.84,0.51,1.9,10.73,3.54,0.86,14.18,2.99,3.07,5.68,5.7,2.29,0.91,1.49,1.24,17.43,2.64,2.57,2.04,3.99,2.04,5.11,5.41,3.35,15.48,4.22,8.36,4.1,4.18,4.99,2.33,1.15,2.59,1.02,5.02,9.28,6.38,0.79,1.84,2.83,3.42,4.62,0.5,2.23,0.57,3.64,4.43,20.6,2.39,4.32,3.5,7.22,0.63,3.32,47.19,4.78,1.77,4.28,1.45
NTRK2,2509.02,6715.87,4566.12,1570.67,29.52,10439.51,13205.19,1362.36,1240.21,16558.9,2622.9,473.3,2877.81,16442.94,3183.7,27826.85,16112.46,1809.15,18260.56,3916.34,496.1,22595.29,9262.25,13464.89,6984.55,24426.02,23885.61,1951.54,11558.23,8564.23,1488.07,73.52,9133.75,13892.73,24726.6,18966.99,13156.96,23099.25,7602.89,4832.95,954.66,3334.1,9606.48,3167.12,14303.23,28785.42,792.79,6674.01,8350.87,145.87,15018.69,16600.68,4619.59,16210.4,5760.44,6090.92,2718.2,24382.73,12602.9,23921.35,2152.38,14292.48,17679.7,1007.18,20971.03,8841.83,9690,19210.38,28078.41,4530.12,14875.03,3011.72,2945.06,1264.2,9149.68
OGDH,217.12,209.31,599.24,232.28,649.2,384.92,518.06,287.36,166.57,375.69,265.97,577.19,252.67,444.09,436.16,373.72,471.41,520.64,508.97,502.21,142.77,286.4,528.55,559.69,295.99,498.3,288.07,389.98,586.55,1535.91,150.6,336.21,475.96,676.41,434.94,259.92,393.21,734.81,374.14,393.52,622.35,459.07,464.68,378.64,298.88,302.94,349.31,330.68,480.14,1217.98,678.6,695.92,610.21,412.42,386.32,462.39,180.69,444.61,241.07,400.13,471.13,623.24,562.6,317.98,470.11,585.78,444.64,316.68,516.04,619.35,567.14,772.32,391.56,542.41,590.95
PARP1,1392.65,1106.01,1409.49,576.21,292.02,678.41,1108.46,934.14,340.28,1350.33,898.53,979.62,1076.02,1230.9,620.72,1777.94,2130.77,2059.36,1349.69,1028.41,351.7,1072.02,851.97,922.92,1233.94,1017.67,923.67,652.13,1010.34,824.01,119.86,927.95,1569,793.22,1324.77,1040.72,962.39,1067.07,1021.75,1051.6,1166.11,1721.04,1464.01,657.6,575.5,1303.43,1716.39,836.63,971.85,1643.92,1430.1,1769.02,1541.31,1428.61,1334.95,2332.14,494.2,1716.27,543.88,1958.86,1955.38,1455.93,1525.05,1093.59,2242.95,739.23,1526.56,1250.68,1458.75,1229.15,1457.27,1490.5,1005.96,834.33,3416.13
PC,22.96,134.04,290.64,56.79,162.8,218.98,199.64,102.86,19.55,488.4,47.6,51.51,40,319.89,66.77,538.15,473.8,77.5,633.86,62.56,45.18,165.52,201.42,411.8,245.02,184.23,215.11,88.67,274.33,62.41,36.1,74.66,385.65,328.17,666.69,238.63,282.11,811.28,219.24,193.92,114.38,123.9,305.79,70.56,135.7,263.2,118.22,166.82,206.17,87.88,279.04,530.12,157.41,313.28,369.15,77.96,54.58,383.86,142.69,273.37,125.13,203.51,490.33,90.89,472.15,247.94,125.59,439.35,534.92,105.25,372.82,251.6,155.38,147.93,764.23
PDCD1 (PD1),0,0,0,0,3.85,1.58,0.74,0.28,0,0,0,94.22,0,0,0,0,0,0,0,12.18,1.77,1.51,1.33,0.43,0,0,0,0.57,0.23,0.37,0,0,0.53,0,0,0.44,0,0,0,0,40.4,0,0,0,0,0.43,0.23,0,1.55,0,0.25,0.46,0,0.79,0,0,0,0.46,0.5,0,0,0,0.32,1.79,0,0.54,0.25,0,1.26,0.66,0,0,0,1.07,1.45
PDGFRA,1839.24,5625.38,2740.22,444.61,179.06,7520.85,2243.87,41766.93,156.19,6335.01,4362.15,2635.74,829.58,1837.99,393.78,1346.35,4081.19,315.13,2438.27,635.96,360.56,8600.69,3729.41,8253.95,296.79,4506.98,1409.09,968.19,2507.73,61.3,521.74,1371.94,443.49,1018.35,10459.51,3652.39,4783.91,1523.51,278.78,14842.12,946,1256.82,1371.76,89.91,691.59,4897.19,42310.1,1559.6,983.49,1551.45,1308.65,1450.94,975.17,12264.5,877.19,9145.95,544.07,6770.73,835.29,5226.3,3426.57,1185.11,9725.04,16161.85,5990.96,5366.35,3675.56,7643.31,5290.33,851.97,5008.55,17622.41,156.55,1458.94,2017.83
PDGFRB,266.23,54.59,13.59,248.11,384.22,636.08,347.61,229.76,73.44,214.85,556.16,2406.13,496.94,238.74,325.57,170.15,153.93,727.77,195.77,628.51,71.76,146.77,615.99,203.12,113.5,285.57,172.86,264,243.07,528.84,86.65,2711.85,750.43,202.43,299.25,493.44,713.95,152.15,678.82,494.11,1185.78,990.28,309.73,521.48,737.87,305.91,139.67,538.96,285.58,552.83,210.29,168.2,2275.59,234.91,202.66,302.38,225.37,275.64,263.02,267.34,422.06,313.66,284.84,2355.53,221.31,560.16,346.24,239.37,52.86,392.45,367.34,252.29,253.55,689.08,190.51
PDHA1,144,132.92,753.49,105.91,84.29,304.84,436.1,281.47,57.31,434.52,143.45,211.55,123.82,190.47,199.41,200.22,636.37,300.24,365.63,267.88,155.92,538.16,470.64,368.01,491.58,289.55,419.85,187.63,358.6,318.01,72,319.68,449.04,397.57,246.92,357.62,317.06,426.32,269.04,485.95,347.34,197.91,401.49,178.91,162.11,408.68,286.1,195.24,511.4,406.7,624.34,1036.82,413.08,656.76,336.96,341.13,143.4,264.77,257.49,573.51,186.12,566.08,605.09,284.09,660.36,928.29,304.21,383.71,521.07,417.35,615.88,427.76,457.87,439.23,646.43
PDK1,543.95,193.31,422.65,408.33,124.51,77.59,281.99,250.73,246.9,107.31,395.92,176.55,393.84,34.56,210.39,99.68,165.22,83.66,96.69,436.1,281.72,91.17,217.15,146.95,102,116.67,61.42,554.03,115.76,89.91,343.7,333.51,449.3,140.09,26.73,381.33,715.48,125.85,308.82,638.66,263.65,361.63,213.05,322.31,252.58,145.48,248.56,148.26,282.73,218.42,221.08,106.49,209.59,133.84,447.95,218.05,605.92,108.22,86.17,133.89,697.51,145.51,280.73,287.45,199.84,212.29,342.24,57.74,82.44,208.18,201.64,153.28,490.89,277.66,239.96
PFKFB1,0.48,1.12,2.94,1.35,0.86,2.17,0.56,1.68,0.76,1.38,0.43,0.44,0.48,2.25,2.52,0.86,3.36,1.54,3.33,2,0,1.72,4.87,3.63,1.53,1.7,0.52,0.57,1.36,0.37,0,1.52,0.53,1.29,0.45,0.89,2.81,4.6,0.54,2.93,2.36,2.81,4.92,0.91,0.52,1.95,2.8,1.6,4.66,1.02,5.52,1.86,2.03,1.97,2.45,2.36,0.86,0.46,0.25,1.79,1.15,3.23,3.79,1.34,4.18,1.08,1.5,1.8,0.63,1.33,1.65,2.73,1.18,1.87,4.36
PFKM,329.62,1148.63,1485.87,214.98,46.85,1503.93,1382.09,301.32,170.23,1489.74,418.24,323.61,419.55,1290.07,382.08,1144.62,1589.49,1079.59,2185.49,201.14,339.3,1260.17,1267.44,1508.37,771.5,770.13,1209.79,572.9,1161.21,1598.24,148.95,112.94,536.74,1272.83,1487.65,1199.37,490,667.3,486.92,1059.76,157.4,968.49,1274.34,478.91,476.92,873.07,295.9,748.63,490.71,342.84,870,1286.45,531.07,906.28,306.6,284.19,255.77,1416.58,785.55,1169.33,391.13,1371.04,1342.32,293.71,836.93,1775.82,217.15,1365.85,1849.24,469.81,1820.77,611.77,567.84,555.59,339.58
PGAM1,554.24,468.13,693.27,339.37,788.34,588.03,462.12,369.8,781.32,943.33,431.62,535.38,405.98,1233.15,609.75,734.29,667.59,326.93,1271.52,430.28,514.26,650.02,617.32,1519.69,426.78,585.34,901.38,356.96,1004.68,333.8,122.13,409.69,773.67,806.71,552.74,717.89,685.13,466.65,475.01,1879.16,632.77,461.18,503.83,353.04,304.87,820.61,368.41,458.76,554.6,527.79,909.4,736.14,660.07,521.54,291.58,753.84,398.1,609.09,512.48,625.28,584.7,698.66,686.65,397.59,793.98,732.21,372.01,710.29,678.4,230.09,789.26,513.11,249.43,382.52,499.55
PGD,682.45,638.81,561.26,523.48,405.4,543.52,1173.52,1109.12,227.55,385.45,658.17,1307.85,529.08,306.18,555.57,795.95,680.32,1152.98,448.79,735.26,806.61,704.55,1157.75,766.15,551.78,779.5,491.9,466.22,572,513.98,343.08,713.07,990.53,677.54,1207.42,788.13,708.85,976.45,998.47,910.61,1885.97,1161.72,1187,341.43,613.41,971.5,1258.21,637.5,1129.9,671.11,740.77,723.15,997.2,796.72,393.06,827.07,484.78,1276.91,527.3,1009.33,1108.98,549.71,767.27,984.34,679.45,657.66,569.15,1013.72,1023.58,838.36,601.07,1218.41,613.25,1103.97,591.17
PGK1,4350.41,2215.19,5435.47,6350.52,6532,1782.19,1910.57,2185.53,7252.26,1334.28,1777.08,5298.33,3078.78,1220.76,7084.96,591.64,1769.11,1702.91,1563.98,4879.1,4776.32,1245.08,1873.46,1938.32,1418.77,1668.58,751.33,5422.43,1084.87,2759.76,5222.58,6213.52,4298.11,2422.06,1197.91,2926.74,5391.49,1525.55,3589.51,5644.19,4165.19,4317.82,1799.57,3011.88,1448.55,1345.06,2426.64,2764.47,3473,3542.55,1325.21,2361.55,2432.71,2007.99,4407.1,1799.9,6022.84,1354.84,1512.06,1737.26,3905.61,1304.15,1258.55,2269.11,1733.22,1625.11,2741.16,1387.51,1509.72,2029.99,2237.48,1897.77,4481.71,2655.19,1543
PGK2,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.38,0.36,0,0,0,0,1.09,5.32,0,0,0,1.53,0,1.56,0,0,0,0.41,0,0,0,0.45,0.89,0,0,0,0,0.52,0,0,0,0.26,0.87,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0.34,0,0,0
PKM,6932.38,5009,6407.99,4416.14,6041.03,5662.05,8601.28,2772.24,7480.56,4630.88,6053.37,5286.01,5830.15,3848.42,5048.03,1963.99,5388.75,6110.83,3501.44,7059.78,7170.91,2717.97,5350.71,3505.43,5555.43,2122.77,3858.48,6488.15,5742.64,5786.64,5248.58,7095.43,3562.21,4670.4,2372.71,3295.22,2223.73,3371.99,4670,4172.11,5826.34,7273.19,3319.43,5240.98,3063.65,1951.03,3798.17,3895.33,6041.92,5743.9,3412.02,6381.22,4596.11,3826.08,3624.04,2782.41,4909.88,2311.95,2501.59,2029.15,5844.39,4932.44,3155.69,3922.15,2681.11,5247.78,2462.21,1404.05,2985.78,3793.69,3879.38,2910.67,6632.5,5859.83,3261.25
PLXND1,121.2,137.97,87.52,268.09,429.51,217.8,260.62,142.55,131.77,186.34,160.03,1768.17,398.36,200.61,266.18,143.51,168.34,183.99,255.87,353.23,323.94,127.45,513.18,105.37,201.69,284.72,122.33,108.78,113.57,128.73,89.26,1213.4,212.37,203.71,92.35,140.25,271.14,290.59,264.26,104.74,1226.53,608.11,209.93,238.47,257.55,138.76,237.14,240.99,311.62,383.97,182.85,38.74,1006.38,125.09,285.45,258.68,166.66,64.13,122.42,134.34,201.58,150.7,124.03,864.2,286.63,164.03,196.55,113.47,89.99,176.75,198.53,164.66,134.54,230.05,379.57
PRDX1,389.9,559.73,126.32,593.11,1023.67,492.52,1552.55,767.55,221.28,411.82,443.1,933.39,422.17,674.9,461.45,616.57,885.16,1081.39,549.28,748.71,416.82,1095.51,953.68,769.56,564.82,457.31,207.07,517.13,249.64,729.46,413.43,860.12,1506.93,526.1,1558.1,297.13,852.2,991.25,896.43,270.28,1427.4,697.74,2194.42,445.68,563.47,616.59,725.17,1033.24,706.71,1303.9,931.99,466.79,2020.78,850.22,1018.84,1477.43,402.81,1804.37,482.08,1217.76,1779,628.53,453.66,638.02,1064.51,388.38,449.31,859.45,654.17,869.24,81.75,1662.56,486.17,801.96,1517.55
PRKAA1,100.94,145.26,114.57,116.73,237.89,221.94,250.95,120.47,62.63,145.37,100.31,273.19,172.63,83.78,118.78,141.57,174.1,208.63,154.43,247.33,66,225.44,207.4,243.49,170.64,264.28,108.07,138.15,184.4,468.47,85.62,115.97,167.47,121.67,214.07,150.67,242.83,306.08,216.26,171.33,253.16,263.5,279.96,163.66,118.97,166.72,136.64,137.49,145.89,169.37,178.67,179.11,340.9,192.67,187.03,257.97,82.83,180.83,93.45,151.3,186.4,123.28,269.67,187.15,189.7,146.93,94.07,270.34,250.78,259.97,150.61,334.9,211.39,273.38,290.86
PRKAA2,24.88,57.58,27.72,23.89,0.86,37.22,43.87,16.21,26.57,27.97,38.68,12.33,33.81,21.79,40.49,48.12,38.9,24.12,48.94,30.19,34.55,76.94,50.3,61.73,67.49,72.39,53.39,48.05,52.1,43.84,8.25,1.89,31.17,35.56,65.92,30.13,56.63,46.21,39.79,26.99,4.98,20.14,62.49,31.87,21.96,77.62,26.58,32.08,49.67,4.09,72.27,54.98,37.4,89.62,25.14,27.4,15.84,59.66,21.6,62.71,48.68,15.56,42.05,9.85,26.25,34.03,27.27,74.88,103.21,43.16,21.95,28.68,41.87,65.54,36.36
PTEN,217.56,419.71,364.45,292.05,352.03,1204.41,598.66,438.42,150.78,517.29,296.89,413.64,471.82,321.11,507.25,544.06,482.56,497.58,373.36,565.4,505.85,665.54,930.3,752.26,495.61,514.94,550.86,343.23,828.66,506.09,254.79,83.19,836.93,601.39,737.59,729.75,688.83,1217.81,758.12,1625.52,1877.71,1009.95,774.07,393.9,552.49,997.19,197.96,260.2,1171.94,841.51,1453.44,919.89,1620.16,1031.93,412.07,934.08,536.9,878.48,319.8,1202.25,430.36,706.94,1461.66,504.04,952.21,959.89,779.67,1542.98,1144.72,363.9,1096.38,754.47,287.9,568.3,1031.82
RET,9.21,0.56,0.09,4.73,0,3.35,34.76,0.98,0,5.16,20.61,1.54,35.36,8.83,0.72,67.56,6.72,129.59,17.34,7.27,1.99,3.66,14.74,5.55,27.61,3.41,11.27,0.29,14.38,4.83,0.83,0.57,1.58,4.71,119.61,7.76,5.1,101.22,0.27,14.02,0.79,18.97,2.21,17.07,13.07,52.47,64.82,55.57,0.26,108.7,6.78,7.42,3.48,63.07,23.3,45.36,5.14,25.9,6.28,32.8,0.72,23.65,7.9,3.81,4.77,11.07,12.26,18.64,50.5,2.32,10.97,17.41,1.33,22.87,2.18
RPIA,58.37,78.89,98.04,59.27,137.77,121.5,109.49,68.2,31.88,62.37,66.73,86.29,53.81,52.22,71.99,58.86,118.87,89.3,77.93,95.11,235.65,83.62,145.36,86.93,138.43,61.88,71.01,135.57,111.23,73.56,49.93,98.16,86.11,35.56,140.22,56.94,68.36,67.39,132.89,121.75,126.45,73.08,96.19,63.28,60.92,81.95,59.46,57.29,145.64,71.53,90.84,105.33,166.97,87.65,84.93,135.84,64.64,87.87,29.14,88.82,134.58,41.83,144.48,102.98,54.28,109.66,60.54,96.83,71.43,114.88,65.84,103.1,86.39,108.34,172.33
