ID,N13_01,N13_02,N13_03,N13_04,N13_05,N13_06,N13_07,N13_08,N13_09,N13_10,N13_11,N13_13,N13_14,N13_15,N13_16,N13_17,N13_18,N14_01,N14_02,N14_03,N14_04,N14_05,N14_06,N14_07,N14_08,N14_09,N14_10,N14_11,N14_12,N14_13,N15_01,N15_02,N15_03,N15_04,N15_05,N15_06,N15_07,N15_08,N15_09,N15_10,N15_11,N15_12,N15_13,N15_14,N15_15,N15_16,N15_17,N15_18,N16_01,N16_02,N16_03,N16_04,N16_05,N16_06,N16_07,N16_08,N16_09,N16_10,N16_11,N16_12,N16_13,N16_14,N16_15,N16_16,N16_17,N16_18,N16_19,N17_01,N17_02,N17_03,N17_04,N17_05,N17_06,N17_07,N17_08
,E,A,O,G,M,O,V,G,G,O,G,G,G,O,G,O,O,G,O,G,G,O,O,O,A,A,G,G,O,GG,G,G,G,G,A,A,G,A,G,O,L,G,G,G,G,A,G,G,G,G,A,O,G,A,G,G,G,A,G,A,G,O,O,G,O,O,G,O,A,G,O,G,G,G,DNET
GPT,1.91,1.87,1.1,2.7,0.43,2.76,21.01,1.12,4.55,14.67,0.43,0,0.48,10.52,1.8,8.59,14.89,1.03,6.65,0,4.43,7.33,3.1,4.27,2.3,5.68,8.03,0,4.08,4.09,0.41,0,24.83,6.43,4.98,19.94,4.59,5.62,2.71,0.84,2.62,0.47,1.97,4.55,1.57,9.11,1.4,3.67,14.49,0.51,9.54,0.46,3.48,3.16,1.84,11.34,0.43,11.56,4.52,22.32,0.57,9.3,15.81,2.91,14.91,11.88,1,10.83,5.66,1.33,14.81,4.78,4.72,10.16,17.45
GSS,153.81,149.19,326.07,136.34,339.72,134.5,322.7,211.03,96.03,183.44,136.44,183.38,196.68,123.79,180.33,147.16,212.04,419.06,197.9,230.6,100.99,145.48,276.31,220.85,286.82,192.46,174.68,180.48,230.61,492.81,31.77,247.29,223.2,221.28,170.58,93.95,272.16,281.06,181.88,182.83,262.6,404.73,334.08,178.91,118.71,192.74,192.83,346.25,395.78,428.42,204.77,412.73,462.65,214.78,264.6,399.71,137.19,199.33,112.04,197.49,174.09,124.7,294.64,253.64,229.07,209.59,185.88,160.58,224.04,349.95,195.6,184.01,297.78,308.43,319.94
HIF1A,1709.35,6150.52,1032.75,3159.37,2041.13,2703.22,3339.68,2048.01,5201.11,2932.71,2332.39,2585.77,2705.18,2415.03,2173.52,5616.54,2590.88,7362.87,1293.14,2630.05,1918.41,6548.69,1826.7,2573.75,3782.74,10493.76,2066.6,3561.27,2612.39,3659.93,613.34,2954.6,2531.27,1554.94,1497.84,3615.17,2576.5,4436,2917.46,1700.72,2135.98,1657.1,4780.98,2178.33,1798.92,2305.07,1169.6,3365.53,2317.49,2758.78,1804,3129.48,2697.37,4024.08,1359.78,2639.96,2232.35,2822.29,1713.03,3418.96,3257.92,2454.7,3627.05,2528.8,2568.36,2163.12,2067.19,2491.74,2489.57,3159.53,2935.39,1764.97,1575.28,2685.42,916.93
HK1,1088.86,977.2,522.89,1083.25,2069.16,1263.88,1850.34,831.84,2890.73,1878.63,1449.16,956.07,1234.13,1865.42,2201.42,1717.79,1929.77,1351.6,2332.08,1343.76,1448.44,789.46,1852.18,2284.98,1140.38,1701.22,1638.2,1438.7,2367.51,1555.88,633.35,1463.84,969.4,1131.67,850.18,866.57,1179.21,1121.19,1224.74,2824.08,2111.06,1977.98,938.29,1100.55,718,1321.21,979.8,1225.27,3116.8,2398.31,2436.37,1319.16,1683.36,1682.87,1281.6,1334.98,1122.59,1002.89,1529.39,1366.83,880.77,1258.88,1859.21,985.46,757.59,1389.06,833.08,873.28,934.22,923.69,2742.53,1127.6,1264.53,1270.89,652.98
HK2,34.92,18.32,2.94,77.97,127.5,16.54,21.19,27.95,62.25,17.66,42.08,59.88,30,12.4,42.29,12.46,9.61,17.96,25.18,61.83,542.61,30.17,10.64,4.27,36.81,11.92,17.11,199.36,6.34,10.03,449.95,92.66,124.94,19.28,39.42,39.44,250.48,21.44,80.12,8.37,97.59,33.26,68.39,41.88,37.13,42.49,34.74,38.5,71.14,34.74,13.55,3.71,25.51,21.32,71.74,25.99,173.79,10.17,6.53,22.32,74.45,5.25,6.32,27.76,45.93,11.88,45.03,9.32,8.81,12.95,9.88,19.12,27.12,21.93,50.9
HK3,0.96,16.45,5.88,18.48,8.13,11.42,4.83,8.94,6.83,2.75,3.19,18.49,18.57,1.13,15.84,0,0.96,3.08,2.38,10.55,111.62,1.72,23.93,0.85,8.44,3.97,0.52,4,1.36,3.34,10.73,25.01,5.02,2.14,1.36,4.21,4.08,6.13,11.37,1.67,86.05,7.03,2.46,10.47,9.41,0,13.52,6.42,11.9,34.23,3.76,2.32,8.12,1.97,19.62,6.85,14.13,1.39,0,0.45,0.57,0,5.06,34.92,2.39,7.02,12.01,4.21,0.63,1.33,1.65,6.83,5.31,5.62,1.45
HPV16 - overall,0,0.08,0.17,0,0,0,0.08,0,0,0,0.1,0,0,0,0.33,0,0,0,0,0,0,0,0,0.1,0,0,0,0.13,0,0.08,0,1.03,0,0,0,0,0,0,0,0,0,0,0.22,0,2.97,0,0,0,0.12,0,0,0,0,0,0.14,0,0,0.21,0,0.1,0,0,0,0.1,0,0,0,0,0,0.91,0.12,0,2.41,0,7.27
HPV16 -E2,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
HPV16 -E6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPV16 -E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDH1,497.72,624.42,377.69,1293.09,495.94,971.34,822.23,568.91,422.33,308.9,464.5,1373.28,1209.43,226.21,859.3,449.15,515.79,1197.12,626.19,879.1,277.16,621.79,1387.8,649.24,592.43,512.89,302.86,359.98,621.51,592.76,249.41,581.75,743.75,432.32,605.49,393.84,1098.91,685.97,1521.02,726.27,2856.8,2185.09,883,846.02,1072.31,589.55,1081.93,1155.98,725.31,1793.46,856.42,1531.55,1963.14,805.76,890.57,866.32,744.14,929.92,669.13,1698.13,2607.49,353.17,1263.2,1273.08,667.48,1032.5,1094.96,914.18,1089.72,2130.28,980.55,931.87,768.98,1923.41,500.17
IDH2,557.24,550.83,230.92,452.74,296.98,391.71,1104.18,227.68,154.24,1177.33,400.02,422.17,386.06,755.45,209.67,879.54,1003.79,409.07,1530.23,295.52,227.51,1123.07,446.58,689.02,413.08,469.93,524.46,170.57,471.6,187.19,87.12,218.35,861.34,524.23,920.55,854.36,485.92,608.26,582.05,445.48,655.97,717.13,1385.6,332.22,688.62,913.83,551.77,696.93,1206.49,757.92,983,778.68,953.85,335.77,481.78,594.68,221.04,1074.11,533.49,1640.9,637.49,1503.62,900.71,602.91,1507.6,539.93,437.69,1204.92,860.3,478.57,660.03,1049.77,305.28,510.8,1036.51
IDH3A,76.44,96.28,118,88.91,67.19,197.2,591.72,73.18,62.8,215.64,81.72,180.01,127.82,192.96,165.08,137.98,302.25,175.43,279.37,175.99,61.21,195.15,306.18,259.71,187.72,202.84,168.34,125.33,340.83,264.19,39.57,83.38,221.88,329.88,161.97,172.22,138.67,199.93,150.09,255.21,164.32,180.77,221.86,119.81,103.04,177.39,118.49,137.59,175.08,191.83,425.11,445.66,257.07,263.26,173.79,308.29,89.31,197.61,159.18,289.19,118.7,270.35,291.85,110.2,326.6,434.59,108.71,342.41,177.64,247.66,366.61,209.49,170.6,210.47,501.07
