ROI,ADV_1001,ADV_1002,ADV_1003,ADV_1004,ADV_1005,ADV_1006,ADV_1007,ADV_1008,ADV_1009,ADV_1010,ADV_1011,ADV_1012,ADV_1013,ADV_1014,ADV_1015,ADV_1016,ADV_1017,ADV_1018,ADV_1019,ADV_1020,ADV_1021,ADV_1022,ADV_1023,ADV_1024,ADV_2002,ADV_2003,ADV_2008,ADV_2017,ADV_2020
FASN,95.94,113.17,63.96,111.78,132.48,230.87,175.04,99.11,183.69,474.27,84.97,267.57,383.34,149.56,770.81,64.18,70.85,248.84,83.22,88.7,313.23,183.39,267.62,60.03,376.92,388.85,257.45,258.14,213.06
FBP1,189.9,128.81,40.93,53.65,7.9,68.21,27.28,2.59,32.99,212.72,55.93,202.32,215.3,380.84,163.26,330.42,163.63,98.58,218.96,14.5,59.54,89.14,40.17,262.36,69.03,43.13,86.42,302.5,41.1
FGFR1,74.46,27.53,50.6,288.58,66.86,47.87,12.12,30.46,927.44,193.1,55.35,66.45,84.13,68.08,667.67,161.28,80.41,128.38,855.87,69.93,77.31,126.9,22.67,118.62,813.58,921.47,598.6,996.12,859.76
FGFR2,15.96,28.47,6.82,105.13,72.65,13.16,132.15,63.52,209.93,70.15,27.38,279.63,171.43,40.46,80.74,112.9,66.58,107.75,98.38,94.27,29.55,134.64,4.93,18.25,376.11,245.21,164.66,194.02,159.84
FH,312.75,159.45,172.93,307.06,350.68,245.53,202.26,279.57,315.52,260.49,302.39,338.74,395.48,207.72,487.85,308.24,192.15,318.66,342.99,315.18,295.83,301.68,301.01,148.82,313.47,325.9,284.62,264.38,282.64
FOLH1 (PSMA),696.42,22.87,589.01,180.54,52.12,118.48,376.44,83.61,79.47,2224.09,146.82,92.11,111.27,180.66,65.66,65.12,99.36,62.47,487.11,55.94,75.53,51.38,94.15,58.59,33.24,50.46,43.67,84.43,55.23
G6PC,0,0,0.28,0,0,0.6,0,0,0.37,0,0,0,0,0,0,0,0.51,0,1.85,0.52,0.89,0,1.23,13.45,0.51,0,0.18,0.56,0
G6PD,539.99,213.75,366.71,385.73,474.83,545.71,177.31,320.19,465.6,952.7,471.93,482.28,369.55,488.43,390.4,388.28,306.78,244.16,187.89,253.54,474.06,489.66,554.29,346.4,489.38,498.42,440.31,402.59,445.23
GAD1,52.56,7.93,2.84,1.45,16.32,0,6.67,20.74,8.62,0.75,3.5,47.37,8.14,5.71,12.42,36.29,10.76,69.35,1.48,4.66,0.89,30.95,14.29,6.4,19.43,21.34,13.46,18.45,6.82
GAPDH,20402.99,39389.1,28728.06,29169.66,26472.17,32555.26,42363.1,21418.48,23800.54,34925.75,28433.43,23948.76,20356.25,30560.08,23126.2,25033.11,30681.67,31426.13,16288.14,31052.48,15672.31,20126.38,20787.32,18472.86,21056.28,21617.07,19803.9,13218.28,13848.99
GCLC,339.14,91.47,38.09,485.07,176.09,269.26,217.02,606.67,329.14,634.75,247.04,117.12,220.28,140.91,152.17,124.18,375.41,104.31,311.8,185.43,366.77,754.91,474.44,175.76,613.64,514.64,678.29,996.4,475.28
GCLM,289.08,40.14,57.42,120.36,112.92,222.59,140.94,103.06,169.44,164.06,164.89,192.12,304.86,139.25,67.88,113.3,359.54,124.94,208.97,191.13,273.46,559.92,270.37,81.64,127.07,125.83,151.92,152.37,124.26
GFPT1,4011.77,358.89,1035.6,1475.87,665.4,838.91,482.22,624.17,1680.95,4345.21,1208.38,6218.29,1913.32,1042.08,1583.33,4782.93,1390.77,1687.31,4867.06,946.06,1394.2,1545.42,993.73,841.68,1254.38,1641.3,1745.04,1852.46,1709.78
GLDC,35.35,284.68,15.92,31.9,3.68,13.16,4.85,11.67,1.5,17.35,10.49,51.98,154.24,52.37,15.97,2.82,1.54,119.21,38.47,167.3,0.44,6.81,150.83,31.37,2.05,4.89,6.91,31.87,4.87
GLS,4339.64,1310.47,1408.27,3239.58,1500.57,1122.53,707.42,2771.49,3660.29,1855.98,1968.14,2199.53,1607.1,1132.53,3756.25,1734.15,2566.17,2577.39,3045.47,1772.21,1961.12,1912.82,2106.75,2229.69,2578.82,3159.9,2281.97,3248.38,3076.67
