ROI,ADV_1001,ADV_1002,ADV_1003,ADV_1004,ADV_1005,ADV_1006,ADV_1007,ADV_1008,ADV_1009,ADV_1010,ADV_1011,ADV_1012,ADV_1013,ADV_1014,ADV_1015,ADV_1016,ADV_1017,ADV_1018,ADV_1019,ADV_1020,ADV_1021,ADV_1022,ADV_1023,ADV_1024,ADV_2002,ADV_2003,ADV_2008,ADV_2017,ADV_2020
PFKM,165.19,126.94,125.93,180.54,271.11,128.05,103.35,160.74,460.72,553.29,213.54,353.65,276.82,53.32,539.46,122.98,63,308.35,351,157.46,366.54,405.16,279.49,114.29,500.88,469.07,311.31,584.87,628.62
PGAM1,491.81,541.83,798.8,1259.43,466.94,714.45,910.8,1234.4,985.55,1037.18,977.95,777.7,592.09,1194.9,671.66,262.28,675.54,729.03,323.26,1054.58,1210.48,1137.79,1061.76,509.04,1179.72,1472.13,1263.98,884.57,723
PGD,1352.8,732.94,638.47,1925.77,1467.4,1983.58,1258.44,304.63,2977.27,1401.51,1427.45,984.62,1158.39,2604.26,1723.52,1787.58,1215.1,854.54,928.36,1083.58,4527.15,4163.94,887.76,1337.43,3721.21,2209.53,2233.2,1550.52,848.07
PGK1,1731.04,6924.55,3070.4,4532.01,3472.01,3335.89,3968.41,6313.32,3321.41,1553.88,5471.81,5884.06,3348.98,6509.09,2893.83,5798.18,3926.98,4548.97,3177.88,8989.53,3347.1,2395.98,6667.78,3632.43,2963.37,3494.69,2852.37,2386.45,1206.89
PGK2,1.88,0,0.28,0,1.32,0,0,0,0,0,0,0,0,0.48,0,0.2,0,0,0.74,0,0,1.86,0.99,23.69,0,0,0.36,0,0
PKM,5067.04,8485.64,10349.99,5817.18,7002.73,3636.86,7216.36,6310.08,4448.66,4005.39,5786.14,7236.15,8405.93,6292.73,7204.62,7262.59,5628.37,4719.77,5229.9,5356.79,4420.97,3423.26,4027.68,3110.27,3129.56,4536.88,5250.59,4276.09,2655.96
PLXND1,239.44,85.56,215.86,271.17,89.58,131.04,57.08,58.23,587.43,440.27,131.19,90.91,385.38,199.55,364.82,151.54,133.67,264.79,392.18,90.99,127.22,132.58,73.12,127.79,230.8,335.02,320.71,536.41,399.26
PRDX1,1415.37,878.78,672.87,1173.15,926.77,1026.79,1171.76,1648.25,1213.1,1927.27,1189.45,1270.83,1612.52,1131.58,1304.28,1040.65,826.63,734.76,1514.97,836.25,1534.6,1057.93,1356.03,744.67,1041.91,1082.2,1079.67,973.2,647.95
PRKAA1,784.33,117.61,142.99,331.35,232.94,235.76,161.85,196.71,376,362.82,323.07,733.29,787.04,166.14,399.71,522.75,581.81,302.62,564.41,267.79,303.68,514.42,259.03,259.64,519.04,417.05,355.7,461.02,687.1
PRKAA2,50.68,0,25.02,8.7,41.85,0,27.88,0.65,67.48,82.22,2.91,69.74,109.46,2.38,44.36,61.29,1.02,9.17,76.56,9.32,0.89,35.59,15.28,13.77,103.81,43.35,32.93,23.48,46.78
PTEN,1289.91,813.21,810.31,2868.35,1421.47,875.41,615.43,1020.19,4447.54,2974.82,1425.71,1373.64,1278.71,555.08,2984.77,641.59,1155.43,1473.82,2412.26,1697.37,531.38,1689.66,1133.85,2351.67,2237.74,3225.03,2765.58,3522.36,4787.35
RET,3.13,4.2,2.56,6.89,0.26,0.6,0.3,4.54,9,1.13,0.87,5.26,3.17,2.38,8.43,1.01,0.77,1.72,9.99,30.04,0.67,2.48,5.05,4.64,9.33,11.12,4.91,10.9,11.86
RPIA,93.23,81.44,55.15,163.5,110.55,89.75,46.07,88.15,207.68,452.21,151.48,687.56,264.16,127.11,522.6,178.21,113.19,384,169.4,148.91,250.36,271.45,233.89,274.05,161.08,157.62,276.92,373.79,274.19
SDHA,1815.91,698.04,993.73,779.53,790.26,909.37,559.28,1102.71,946.12,615.57,1184.48,1726.1,1636.22,641.65,1034.83,1192.31,1046.09,1422.06,1166.31,912.91,1421.32,2029.26,888.79,553.94,1109.6,992.71,857.14,1051.6,1399.95
SDHB,351.27,251.5,197.25,306.74,355.19,282.89,309.66,405.27,344.47,505.6,382.27,412.5,338.99,255.61,514.37,385.5,332.33,368.72,405.41,419.41,459.11,358.01,300.68,293.03,308.67,392.25,301.93,369.5,276.41
SDHC,1867.37,729.5,967.58,1467.8,1442.07,1616.33,1046.43,1686.81,1710.37,1694.37,1436.19,1949.59,1461,1108.61,1215,1344.16,1187.89,981.49,1764.72,1270.31,1574.2,1601.37,1596.46,1129.73,1892.38,1671.21,1419.86,1286.74,1299.68
SDHD,895.71,413.72,716.36,1547.29,496.94,658.8,450.09,741.81,1639.34,1370.96,1727.51,753.35,767.14,824.05,1249.72,1037.43,850.44,793.22,2311.66,925.6,2152.17,1229.71,711.04,1012.8,1904.07,1529.26,1455.75,1645.3,1570.9
SLC16A1 (MCT1),224.63,829.78,643.02,555.04,593.28,237.55,955.65,974.82,299.53,646.82,216.45,377.33,1197.75,823.57,325.18,32.26,688.85,1915.42,373.19,2176.49,188.38,217.28,742.59,326.71,403.47,303.9,470.33,332.69,548.87
SLC16A3 (MCT4),1162.89,1859.54,1981.65,469.48,210.83,355.43,1212.07,931.07,196.44,1349.09,513.59,1126.08,2663.72,1221.56,297.23,1194.27,892.69,894.09,795.95,580.38,1404.2,659.27,1295.65,2768.5,212.22,97.37,231.8,309.21,215.71
SLC16A7 (MCT2),264.05,97.07,138.72,401.32,55.8,13.16,173.07,37.59,338.14,15.84,161.39,101.98,505.24,268.97,625.52,59.07,30.73,74.51,394.28,126.38,26.44,65.31,13.31,122.3,272.56,660.03,343.7,310.89,374.09
SLC1A2 (glutamate transporter),23.15,1.87,2.27,31.18,5.79,2.39,0.61,3.89,21.74,3.02,5.24,10.53,14.47,9.05,29.28,43.14,4.61,6.88,157.56,3.11,5.78,70.88,1.97,30.41,63.41,163.4,85.33,116.86,36.71
SLC25A5 (adenine nucleotide translocase 2),4498.26,2362.87,372.39,2421.35,4880.98,8801.95,2819.38,3368.12,1808.4,1473.92,7029.48,3800.98,3770.55,4110.25,2159.17,3293.11,2512.4,2849.63,2192.56,2740.81,2992.55,4816.71,8773.3,3373.91,2647.09,3094.98,2871.65,3371.67,1715.31
SLC2A1 (GLUT1),127.02,748.34,106.32,495.58,673.82,660,835.33,2476.59,317.52,117.67,667.7,349.37,420.66,1639.29,288.81,193.53,1079.63,395.46,128.34,2397.66,481.62,550.63,774.38,364.81,353.1,477.07,580.23,551.04,249.66
SLC2A3 (GLUT3),3134.52,5733.55,13901.1,3031.13,679.87,1414.54,947.77,2387.46,1542.62,1822.79,965.72,2423.89,1810.64,6868.75,2068.67,1554.12,1033.28,3459.44,3451.59,1741.4,929.91,1758.68,3281.39,14569.91,2722.77,1565.94,3406.03,7766.02,4673.88
SLC5A1 (sodium glucose cotransporter),69.45,0,0,118.19,20.53,3.59,11.52,12.96,336.64,28.66,44.28,121.39,3.62,70.46,2.22,52.01,0,3.44,440.51,6.22,105.74,43.33,47.07,150.31,181.54,281.44,245.08,17.89,19.82
SLC7A1 (glutamine transporter),1399.72,1977.14,974.48,1739.06,734.1,772.49,1097.5,1257.41,856.59,1081.68,1249.17,1747.52,771.66,383.22,245.33,1290.43,603.32,886.07,983.47,1599.99,2336.55,1372.4,1316.35,532.09,1870.83,1718,1507.42,560.55,1387.19
SLC9A1 (Na+/H+ proton antiporter),686.41,370.09,143.27,383.56,59.75,345.26,263.39,828.34,240.67,672.85,224.61,500.04,982.89,379.65,356.24,1256.56,490.14,641.91,209.71,225.57,436.96,726.44,560.21,590.2,430.31,352.14,531.65,748.98,753.05
SOD1,447.39,335.79,192.74,597.09,519.84,326.71,275.21,467.32,618.55,723.01,408.14,889.88,513.84,273.49,909.01,388.08,319.33,651.65,772.65,326.58,397.2,709.1,605.31,371.37,446.93,621.13,496.71,484.78,363.37
SOD2,20158.65,9349.02,20232.65,12854.28,8976.28,10937.52,8098.06,10824.45,11607.68,5242.46,7613.28,6150.53,13887.61,13221.46,7896.24,4506.94,9099.28,18634.91,23685.08,3670.81,11699.42,10481.19,19165.6,28405.7,2634.56,5740.9,11781.72,10982.24,14159.89
TALDO1,2802.26,2438,1264.15,3256.98,2108.85,1406.16,2515.98,1457.37,2959.65,2842.25,3692.74,2558.11,3384.72,1501,3506.93,2191.38,1345.19,1234.53,2692.25,1927.86,4830.83,3743,1847.48,2507.1,3606.92,3564.72,3397.48,2215.91,1931.34
TP53,68.52,39.67,59.7,152.26,230.57,81.38,127.3,52.5,107.96,128.99,118.27,58.56,242.44,49.03,123.77,204.02,54.29,177.67,215.63,62.67,67.09,180.14,115.84,44.18,172.07,178.74,169.94,223.38,84.14
TP53I3,245.44,192.74,112.43,643.13,177.67,96.94,133.06,85.56,785.18,373.38,271.8,525.54,259.63,151.74,399.05,259.86,155.57,335.57,388.91,60.86,982.23,418,133.95,209.54,792.11,629.58,801.2,270.07,226.35
TUBB,5136.73,5599.73,5904.29,5037.83,10286.28,8194.61,3255.98,4484.4,5651.73,4444.78,7077.91,5340.09,7311.77,7443.11,4335.41,7306.44,8626.36,6578.16,5302.02,5124.93,6634.45,7440.03,5971.15,2297.68,5748.08,6326.35,5114.95,4898.84,8100.6
TXN,8006.54,9709.54,6330.7,14474.68,7367.27,10643.92,9892.98,25540.94,10502.17,5791.23,7497.05,6317.43,4293.28,10789.38,4564.99,7437.98,8416.48,5773.38,8022.38,12924.5,7371.61,5730.2,6891.07,6286.96,18544.28,12262.18,13800.9,5062.63,3491.8
VEGF121_FASTA,168.94,242.68,223.15,163.14,123.71,460.74,281.88,703.24,153.7,577.05,327.73,226.99,298.53,183.28,53.24,259.05,311.14,200.6,162.74,347.04,251.03,89.76,276.04,509.04,341.34,175.62,225.61,464.09,178.68
VEGF121b_FASTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEGF165_FASTA,101.68,112.01,419.3,83.38,22.37,107.71,165.19,453.71,61.85,863.69,155.13,129.12,126.65,49.99,72.09,232.85,84.51,171.94,40.69,330.2,135.51,51.07,141.72,282.13,189.21,147.84,131.91,489.26,156.75
VEGF165b_FASTA,3.13,0,0,0,1.32,0,1.52,3.24,0,3.77,0,0,2.26,0,0,0,0,0,0,0,0,0,2.46,3.2,0,0,0,0,0
VEGF189_FASTA,156.43,189.01,480.42,184.89,113.18,538.53,439.49,594.68,238.05,1101.29,390.36,189.16,382.21,179.71,206.29,138.1,138.28,469.97,70.27,811.91,253.25,71.19,327.79,204.9,442.33,330.13,196.5,503.23,177.05
VEGF_full_length_206_FASTA,24.58,42.5,88.73,17.61,21.81,94.03,108.68,122.45,24.63,200.43,56.18,61.1,65.91,43.52,35.17,81.07,37.13,162.93,38.57,149.28,67.44,18.57,62.5,123.72,104.1,67.8,72.26,211.68,67.18
VHL1,265.34,150.07,170.92,302.71,282.79,138.75,247.97,285.39,364.33,692.79,320.27,587.22,251.04,153.68,357.68,137.47,227.43,346.39,425.35,266.27,301.7,536.43,562.39,197.39,401.42,437.81,303.62,483.14,387.81
VHL2,131.4,63,85.99,203.02,113.18,74.8,87.9,127.2,146.2,376.21,150.76,229.46,142.48,72,215.16,98.78,144.04,156.18,204.35,91.29,202.71,269.28,219.35,94.84,269.75,267.88,188.31,363.45,240.81
