ROI,N13_02,N13_04,N13_08,N13_09,N13_11,N13_13,N13_16,N14_01,N14_03,N14_04,N14_08,N14_11,N15_01,N15_02,N15_03,N15_04,N15_07,N15_09,N15_12,N15_13,N15_14,N15_15,N15_17,N15_18,N16_01,N16_02,N16_05,N16_07,N16_09,N16_11,N16_13,N16_16,N16_19,N17_03,N17_05,N17_06,N17_07
,A,G,G,G,G,G,G,G,G,G,A,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
SDHB,270.77,162,160.26,111.76,73.32,377.66,116.78,177.21,266.22,240.42,323.8,184.64,103.5,297.72,338.98,261.1,220.36,222.39,293.03,280.45,179.06,126.38,311.29,213.36,291.73,338.63,401.17,289.57,131.63,134.82,259.61,201.36,203.34,282.22,306.68,218.5,332.89
SDHC,815.34,510.69,513.61,282.77,428.22,778.2,649.02,1098.64,791.09,325.57,763.55,671.44,293.98,733.82,1683.9,995.27,894.35,966.6,1223.79,1412.41,719.28,599.42,1048.7,1002.82,1076.1,1410.17,1411.37,986.49,466.59,639.03,1012.91,820.75,901.25,1064.13,1199.12,870.49,1284.66
SDHD,606.28,370.25,257.99,235.52,450.75,709.07,573.93,663.61,695.79,430.99,451.32,400.15,368.05,445.88,890.69,805.64,599.17,774.36,917.67,1127.22,590.22,562.95,681.1,552.48,661.95,930.15,838.05,760.07,333.03,477.31,497.36,782.19,577.65,882.85,1024.16,529.81,711.81
SLC16A1 ,679.94,1164.37,627.23,788.73,1763.69,1094.1,948.81,707.75,703.07,726.88,1008.09,787.42,586.52,1247.44,1831.56,1775.36,1192.47,922.96,1412.34,1812.85,758.66,1188.91,1270.1,1022.47,833.97,286.63,542.08,1739.35,664.57,1198.79,2351.67,692.64,903.13,1367.27,1450.21,1440.83,1527.95
SLC16A3 ,394.28,587.48,328.99,614.51,428.44,3336.88,212.73,88.02,547.03,966.96,190.57,183.34,638.1,1472.18,734.84,115.67,359.14,487.46,494.44,83.64,551.3,394.56,312.22,208.07,238.76,845.85,398.88,664.1,828.51,52.75,617.91,637.13,537.37,219.14,402.84,263.58,506.11
SLC16A7 ,40.01,22.99,42.49,2.66,32.09,88.28,131.38,3.59,95.84,34.55,55.98,42.33,53.85,32.59,61.28,153.37,2468.35,17.32,141.7,15.5,62.14,5.75,152.03,10.54,217.81,30.66,129.87,132.76,22.26,38.18,14.32,184.47,188.63,33.87,173.77,87.27,47.08
SLC1A2 ,315.01,664.55,1058.81,1182.33,11210.55,92.46,5049.83,7158.6,559.58,14.17,2399.25,4227.71,554.96,4.17,2364.59,30657.58,2443.61,11090.9,1611.66,11221.05,3259.53,2275.06,1227.19,11295.28,239.53,4074.17,1777.86,1386.15,441.55,24641.58,5221.32,188.05,1696.93,6202.19,7227.17,3576.88,5524.65
SLC25A5 ,1339.32,428.84,344.36,1042.08,855.6,2280.21,2307.6,947.18,1468.33,374.29,1592.09,1069.44,237.87,1857.05,1674.39,1672.76,1927.85,1793.95,2706.16,1888.13,961.02,638.77,1288.52,2469.55,1956.89,1571.88,2561.42,973.16,474.29,1450.26,1310.84,1106.8,1134.29,1769.35,1721.62,892.45,1148.37
SLC2A1 ,58.14,185.01,57.58,495.9,526.83,211.33,188.61,189.64,214.41,864.19,252.69,303.76,1015.01,382.97,453.53,276.33,327,415.47,140.77,249.7,366.93,306.97,136.17,196.84,258.42,91.71,224.08,472.47,331.11,180.12,404.02,84.4,246.92,335.34,185.37,518.31,306.02
SLC2A3 ,4600.13,1397.38,1535.66,4605.21,4082.05,3067.21,1732.23,2011.88,7056.87,8608.28,1023.05,4779.45,23844.39,13918.93,1687.6,2837.2,4332.68,2057.84,4209.38,1237.93,6881.67,1699.82,1871.69,1601.99,3464.46,4322.74,2026,5391.29,15210.56,2195.61,1746.36,8822.59,6776.22,3529.74,2428.97,8056.52,4958.89
SLC5A1 ,0,0.45,0.28,0,0.43,0,0.36,0,0.55,0,0,0,0,0,0,0,0.51,1.08,0.47,0,0,1.05,0,0,0.78,0.51,1.16,3.07,0,0,0,0.9,0.5,1.33,1.02,0,0.53
SLC7A1 ,610.4,558.41,384.61,432.51,918.72,891.35,327.91,1492.49,945.12,163.01,1232.79,723.92,430.14,132.08,1672.02,1123.74,1888.57,1225.56,1206.46,1439.16,876.8,1854.61,648.22,1600.85,546.07,447.83,1156.35,778.77,579.38,1241,1083.49,382.14,1423.99,1144.48,1333.8,1076.42,1028.27
SLC9A1 ,392.41,220.62,135.84,144.04,318.56,781.06,318.37,178.09,587.04,208.19,251.54,317.2,196.4,380.32,237.2,411.5,264,434.95,395.13,332.11,296.14,456.27,142,468.38,442.34,725.78,895.45,315.19,194.34,358.48,406.88,337.14,218.15,399.76,249.55,344.07,331.7
SOD1,426.06,293.4,280.63,162.45,224.84,466.04,288.86,334.37,525.76,414.16,472.41,602.36,356.49,342.42,376.4,340.59,496.88,418.98,616.7,901.14,335.74,350.11,363.75,304.31,779.14,510.68,654.56,566.29,268.4,378.83,482.19,299.98,208.4,592.33,478.62,394.48,475.35
SOD2,32944.26,28260.16,16408.98,23429.31,21167.45,12868.73,15148.78,9154.06,20714.87,46301.93,33509.34,11194.66,29153.41,7744.26,12272.54,10375.21,4995.11,22200.48,1498.3,16035.73,37752.79,35718.21,11719.09,21300.91,17684.45,17682.34,19986.35,46628.99,25906.34,23865.33,10198.12,27693.68,24592.87,23188.81,25067.72,12132.55,9519.21
TALDO1,1012.34,868.04,1291.08,305.74,485.39,1419.46,932.97,916.38,1073.7,720.68,1218.99,676.73,345.97,1109.68,2288.26,808,1278.17,1248.56,1556.38,1647.04,663.97,925.87,1384.82,1026.82,1826.26,1357.29,2832.46,1580.53,795.34,694.86,737.31,1404.76,1334.68,1006.03,1819.94,852.65,1151.58
TP53,62.44,46.42,11.18,36.82,62.69,98.18,25.56,109.58,66.92,11.52,52.15,24.03,46.83,18.95,80.83,17.99,27.55,94.19,175.43,77.99,49.17,73.21,96.3,72.18,82.26,76.64,149.58,23.3,32.75,38.69,243.67,46.12,144.1,139.45,53.94,126.78,237.81
TP53I3,53,43.49,36.2,54.09,43.03,136.6,82.7,63.51,38.74,14.62,22.05,70.36,8.87,17.24,144.62,41.24,125.75,110.02,205.88,139,100.84,52.95,54.21,115.03,225.7,95.42,177.12,40.78,22.05,43.84,109.24,99.96,131.34,138.45,80.57,149.63,104.06
TUBB,12498.42,3778.51,8085.34,3522.56,7601.24,10431.89,4170.63,9279.29,4734.94,3352.57,8949.25,5118.74,2147.11,9531.1,4792.85,1451,4993.39,3858.28,5489.79,7329.59,2555.62,4377.35,6797.02,4879.19,8316.14,5586.08,4085.55,3218.94,3163.38,3510.72,8058.19,5505.17,5337.47,4964.99,3740.32,3686.11,5054.05
TXN,1157.54,3131.2,3220.02,1409.43,1299.9,1200.13,3034.93,1586.75,2600.59,1049.05,1385.53,1141.71,1574.79,2694.61,3424.15,1710.46,2570.72,2632.64,2887.53,1991.87,1499.26,1532.65,2037.16,2342.3,2711.37,4838.1,3746.27,3897.43,2790.61,1501.42,2235.32,2853.93,1873.8,2078.46,1765.54,1142.47,2580.47
VHL1,174.33,138.45,241.78,23.84,85.54,162.49,56.8,208.02,194.93,88.59,150.5,112.26,53.25,117.6,373.1,251.16,405.73,370.3,309.9,308.44,110.11,127.47,149.23,218.55,326.26,213.47,386.09,196.8,115.98,78.19,345.03,118.09,128.84,360.04,399,221.86,459.26
VHL2,110.77,50.14,183.78,29.89,73.32,126.03,78.29,128.31,126.39,59.8,38.35,85.09,39.71,49.27,66.7,93.18,210.44,133.98,156.34,134.08,52.35,104.59,80.44,108.27,118.99,99.63,171.76,108.08,23.01,48.36,213.32,85.63,75.68,162.69,159.6,64.13,192.6
