"rownames(orderBenodigdeData1)","ccRCC_A_normal_tissue","ccRCC_A_Tumor1_tissue","ccRCC_A_Tumor2_tissue","ccRCC_A_Tumor3_tissue","ccRCC_B_normal_tissue","ccRCC_B_Tumor1_tissue","ccRCC_B_Tumor2_tissue","ccRCC_B_Tumor3_tissue","ccRCC_C_normal_tissue","ccRCC_C_Tumor1_tissue","ccRCC_C_Tumor2_tissue","ccRCC_C_Tumor3_tissue","ccRCC_D_normal_tissue","ccRCC_D_Tumor1_tissue","ccRCC_D_Tumor2_tissue","ccRCC_D_Tumor3_tissue","ccRCC_E_normal_tissue","ccRCC_E_Tumor1_tissue","ccRCC_E_Tumor2_tissue","ccRCC_E_Tumor3_tissue"
"PGAM1",571.82,1203.46,839.56,1242.67,638.2,1093.65,734.16,617.51,420.58,631.94,1090.33,977.54,359.36,663.18,697.28,436.22,422.12,709.93,576.14,636.8
"PGD",686.81,246,165.47,189.14,475.83,330.32,206.37,295.51,566.25,759.05,388.13,558.65,587.06,340.38,504.32,362.08,844.96,497.09,600.39,335.46
"PGK1",2987.12,4963.59,4088.64,5602.48,3185.77,9139.96,6044.97,4781,2801.53,2124.01,4695.32,5974.74,2668.2,5286.28,5537.52,2340.43,1970.39,2403.85,2877.03,3552.71
"PGK2",0,0.12,0,0,0.22,0,0,0,0,3.03,5.4,0.26,0.31,0,0,0,0,0.55,0,0
"PKM",2504.46,6473.11,4530.12,8020.6,2067.61,7256.47,6985.99,6090.59,2292.61,7121.83,8472.86,8125.35,2183.46,6283.16,5936.17,2636.97,1199.83,2399.43,1988.57,939.47
"PLXND1",226.73,363.39,208.42,293.13,142.02,200.62,310.69,306.26,145.84,362.12,136.57,413.61,100.59,507.79,978.63,884.85,408.53,368.15,382.5,201.63
"PRDX1",1220.23,563.12,382.48,586.21,1368.7,924.21,934.61,1331.92,1663.95,1495.7,907.66,657.44,1095.81,719.06,998.46,656.41,802.75,731.99,1181.31,716.57
"PRKAA1",358.41,326.87,263.13,301.36,330.54,176.13,218.59,442.94,328.07,258.77,273.76,154.95,275.4,226.4,383.38,251.72,530.16,427.34,424.76,338.56
"PRKAA2",272.78,224.85,149.2,198.25,230.66,139.76,156.29,232.58,226.32,165.1,165.47,153.54,206.83,62.56,70.02,10.16,168.85,224.97,177.84,120.54
"PTEN",1358.82,1136.29,638.15,748.95,1040.55,239.09,654.26,963.44,1045.39,1007.37,521.21,636.06,737.55,843.39,1535.87,1134.84,1393.37,451.6,920.24,483.69
