ROI,N13_02,N13_03,N13_04,N13_06,N13_08,N13_09,N13_10,N13_11,N13_13,N13_15,N13_16,N13_17,N13_18,N14_01,N14_02,N14_03,N14_04,N14_05,N14_06,N14_07,N14_08,N14_09,N14_10,N14_11,N14_12,N15_01,N15_02,N15_03,N15_04,N15_05,N15_06,N15_07,N15_09,N15_10,N15_12,N15_13,N15_14,N15_15,N15_16,N15_17,N15_18,N16_01,N16_02,N16_03,N16_04,N16_05,N16_06,N16_07,N16_09,N16_10,N16_11,N16_12,N16_13,N16_14,N16_15,N16_16,N16_17,N16_18,N16_19,N17_01,N17_02,N17_03,N17_04,N17_05,N17_06,N17_07
,A,O,G,O,G,G,O,G,G,O,G,O,O,G,O,G,G,O,O,O,A,A,G,G,O,G,G,G,G,A,A,G,G,O,G,G,G,G,A,G,G,G,G,A,O,G,A,G,G,A,G,A,G,O,O,G,O,O,G,O,A,G,O,G,G,G
HK1,977.2,522.89,1083.25,1263.88,831.84,2890.73,1878.63,1449.16,956.07,1865.42,2201.42,1717.79,1929.77,1351.6,2332.08,1343.76,1448.44,789.46,1852.18,2284.98,1140.38,1701.22,1638.2,1438.7,2367.51,633.35,1463.84,969.4,1131.67,850.18,866.57,1179.21,1224.74,2824.08,1977.98,938.29,1100.55,718,1321.21,979.8,1225.27,3116.8,2398.31,2436.37,1319.16,1683.36,1682.87,1281.6,1122.59,1002.89,1529.39,1366.83,880.77,1258.88,1859.21,985.46,757.59,1389.06,833.08,873.28,934.22,923.69,2742.53,1127.6,1264.53,1270.89
HK2,18.32,2.94,77.97,16.54,27.95,62.25,17.66,42.08,59.88,12.4,42.29,12.46,9.61,17.96,25.18,61.83,542.61,30.17,10.64,4.27,36.81,11.92,17.11,199.36,6.34,449.95,92.66,124.94,19.28,39.42,39.44,250.48,80.12,8.37,33.26,68.39,41.88,37.13,42.49,34.74,38.5,71.14,34.74,13.55,3.71,25.51,21.32,71.74,173.79,10.17,6.53,22.32,74.45,5.25,6.32,27.76,45.93,11.88,45.03,9.32,8.81,12.95,9.88,19.12,27.12,21.93
HK3,16.45,5.88,18.48,11.42,8.94,6.83,2.75,3.19,18.49,1.13,15.84,0,0.96,3.08,2.38,10.55,111.62,1.72,23.93,0.85,8.44,3.97,0.52,4,1.36,10.73,25.01,5.02,2.14,1.36,4.21,4.08,11.37,1.67,7.03,2.46,10.47,9.41,0,13.52,6.42,11.9,34.23,3.76,2.32,8.12,1.97,19.62,14.13,1.39,0,0.45,0.57,0,5.06,34.92,2.39,7.02,12.01,4.21,0.63,1.33,1.65,6.83,5.31,5.62
IDH1,624.42,377.69,1293.09,971.34,568.91,422.33,308.9,464.5,1373.28,226.21,859.3,449.15,515.79,1197.12,626.19,879.1,277.16,621.79,1387.8,649.24,592.43,512.89,302.86,359.98,621.51,249.41,581.75,743.75,432.32,605.49,393.84,1098.91,1521.02,726.27,2185.09,883,846.02,1072.31,589.55,1081.93,1155.98,725.31,1793.46,856.42,1531.55,1963.14,805.76,890.57,744.14,929.92,669.13,1698.13,2607.49,353.17,1263.2,1273.08,667.48,1032.5,1094.96,914.18,1089.72,2130.28,980.55,931.87,768.98,1923.41
IDH2,550.83,230.92,452.74,391.71,227.68,154.24,1177.33,400.02,422.17,755.45,209.67,879.54,1003.79,409.07,1530.23,295.52,227.51,1123.07,446.58,689.02,413.08,469.93,524.46,170.57,471.6,87.12,218.35,861.34,524.23,920.55,854.36,485.92,582.05,445.48,717.13,1385.6,332.22,688.62,913.83,551.77,696.93,1206.49,757.92,983,778.68,953.85,335.77,481.78,221.04,1074.11,533.49,1640.9,637.49,1503.62,900.71,602.91,1507.6,539.93,437.69,1204.92,860.3,478.57,660.03,1049.77,305.28,510.8
IDH3A,96.28,118,88.91,197.2,73.18,62.8,215.64,81.72,180.01,192.96,165.08,137.98,302.25,175.43,279.37,175.99,61.21,195.15,306.18,259.71,187.72,202.84,168.34,125.33,340.83,39.57,83.38,221.88,329.88,161.97,172.22,138.67,150.09,255.21,180.77,221.86,119.81,103.04,177.39,118.49,137.59,175.08,191.83,425.11,445.66,257.07,263.26,173.79,89.31,197.61,159.18,289.19,118.7,270.35,291.85,110.2,326.6,434.59,108.71,342.41,177.64,247.66,366.61,209.49,170.6,210.47
IDH3B,503.55,590.73,246.3,513.19,387.27,106.75,326.75,188.72,789.09,353.89,206.79,414.3,472.84,521.32,513.76,393.91,153.26,572.11,605.91,453.34,433.68,440.85,538.29,314.48,488.86,146.58,311.53,357.65,355.37,776.56,279.73,405.69,488.95,486.58,455.79,508.75,307.63,244.61,363.91,448.28,569.44,489.8,660.12,368,732.78,519.76,585.2,393.98,296.75,432.88,236.52,489.38,338.45,331.44,719.06,294.94,392.67,607.42,307.34,462.95,522.65,716.51,306.98,522.32,593.2,474.41
IDH3G,327.71,739.98,181.69,583.15,341.24,236.51,580.5,217.21,457.16,561.56,479.85,463.86,684.3,302.17,884.59,251.95,159.83,589.82,516,607.48,492.73,483.17,450.52,176.26,459.3,120.95,308.48,481.4,394.5,670.73,613.29,377.83,347.46,215.55,484.73,604.16,332.23,402.77,478.78,374.83,335.51,177.09,256.21,438.41,866.14,354.02,468.26,404.33,211.36,811.56,319.15,546.17,325.11,548.53,521.5,281.7,483.69,751.07,305.11,818.45,479.2,275.72,688.93,585.48,408.09,600.87
L2HGDH,18.82,36.35,10.67,35.51,18.82,6.83,23.54,10.7,15.34,16.4,8.04,20.48,32.66,19.42,32.71,9.09,6.5,28.88,38.41,42.15,18.92,35.58,22.89,11.44,31.79,3.44,5.56,28.88,19.42,50.67,25.7,48.89,23.28,37.65,18.5,44.77,12.29,14.12,48.28,19.28,26.43,27.51,23.16,42.74,66.43,33.43,47.05,15.33,10.99,42.09,12.06,40.17,28.35,34.36,87.46,20.3,60.75,45.64,23.52,63.15,50.03,29.99,43.16,22.65,21.92,30.85
LDHA,3257.82,289.54,4658.61,563.61,1294.44,5649.76,115.34,4770.18,3219.77,135.62,2542.46,505.93,369.58,2058.84,180.32,6070.83,2464.13,1394.87,786.83,481.86,1585.95,982.18,479.46,4613.55,893,5715.03,8666.34,3059.02,1385.93,219.06,2008.33,7083.65,4507.33,206.68,4827.71,2042.38,4900.91,2728.45,508.41,3662,3754.17,2779.74,6016.74,1676.77,242.44,3822.41,1232.39,5013.87,5454.37,246.04,1837.63,660.32,8187.76,163.7,461.56,4264.22,578.34,530.72,2052.68,520.84,321.89,3715,376.66,2226.53,6137.48,5101.47
LDHB,6396.55,10984.58,2120.52,11654.75,4373.3,1801.39,7492.27,3721.62,3321.03,10641.19,2647.03,10961.54,6434.56,8364.96,8580.64,3055.96,733.52,12344.55,6103.63,8171.5,3853.29,6919.01,9210.8,3595.6,6302.63,1264.85,2215.57,5563.61,7721.37,10257.22,5070.23,3953.13,1946.33,9688.06,6386.44,5416.67,2302.84,2810.81,10675.69,3520.46,5182.47,3237.08,3819.22,5134.46,7600.85,4758.74,7188.65,1972.37,1621.5,8515.45,5163.45,8127.98,4178.78,6537.72,8981.17,4353.99,8032.88,6707.87,7553.76,14271.71,9279.23,3782.74,7316.81,5443.42,2135.75,3413.02
MAPK8,229.76,167.99,74.14,320.99,255.76,60.54,132.99,58.44,154.76,158.72,62.27,212.9,199.56,90.07,211.92,141.85,31.89,406.48,237.98,441.92,140.34,212.62,198.52,59.49,278.41,50.34,72.58,133.66,169.65,356.34,183.68,313.49,138.85,586.36,176.37,330.88,57.36,105.63,231.76,83.24,181.49,109.68,99.63,359.09,580.47,213.93,377.24,99.34,59.93,284.89,105.01,422.21,125.41,197.86,705.94,146.63,320.93,225.52,93.06,456.19,495.27,120.52,190.94,303.15,57.79,112.88
MDH1,492.11,285,250.92,625.47,250.06,153.06,621.84,282.49,256.29,264.71,176.51,332.33,867.92,360.35,550.09,356.86,160.31,409.16,806.81,784.61,695.96,330.82,673.34,397.35,1005.81,186.86,397.28,517.01,839.95,320.02,300.57,417.54,303.45,895.02,436.01,425.69,340.38,190.27,611.39,307.88,348.04,589.68,397.54,1007.71,604.81,634.29,781.26,358.13,221.19,403.52,392.76,502.96,392.83,523.98,555.67,334.08,512.1,674.07,322.34,481.84,458.55,492.03,666.21,373.56,332.7,393.22
MDH2,449.34,1712.25,399.65,670.83,559.73,300.52,491.04,346.19,943.85,267.57,742.29,278.1,639.61,1002.73,578.74,803.18,229.45,666.61,570.01,687.65,441.16,556.81,389.01,761.82,762.85,243.75,631.02,593.26,674.97,852.11,537.09,1054.22,1027.3,847.64,1411.05,917.74,482.67,347.76,518.16,737.41,914.88,801.12,733.06,733.49,1406.4,879.51,922.07,784.14,436.73,1104.75,551.79,676.72,1081.06,495.35,627.53,547.69,683.62,1693.31,896.12,665.94,874.12,874.05,908.19,884.36,794.42,1073.61
MYC,1348.75,1957.68,621.58,1407.37,1250.21,372.07,683.69,144.04,1307.14,284.26,639.6,498.05,1069.69,540.04,863.6,1169.96,440.49,1972.28,415.95,554.74,1223.21,1343.33,443.32,1259.61,1249.71,438.97,1953.48,289.53,108.53,2895.86,1631.51,867.11,465.99,935.55,586.85,263.37,169.2,196.25,936.12,701.98,377.08,351.37,799.47,426.32,1721.46,567.21,1015.97,790.86,564.57,1615.86,123.09,1898.56,400.55,325.72,899.76,2361.42,463.47,3040.88,581.38,664.25,4821.59,371.87,652.31,570.88,276.65,1137.76
NAMPT,3717.16,517.38,11225.69,984.24,1233.22,5437.01,325.6,3904.6,1380.06,204.74,17743.98,529.56,306.18,3362.2,324.3,12025.45,10213.08,787.09,1300.01,460.93,2340.58,916.89,444.21,2198.37,621.38,30575.05,2801.11,1873.29,535.09,358.38,496.99,917.25,4147.89,555.19,682.51,1809.9,9070.25,6235.03,292.47,473.81,1720.23,1372.8,3274.05,1079.54,482.8,2367.48,1007.94,4565.92,15445.99,547.81,652.4,486.48,524.28,351.05,800.15,6563.11,415.19,1054.42,4195.42,662.78,439.89,3764.14,658.68,2406.78,1395.43,1621.58
NAPRT1,10.75,2.75,4.51,15.26,1.4,0.95,28.09,3.72,31.37,13.62,0.9,4.03,13.21,2.57,28.51,10.68,22.7,61.96,8.03,13.88,14.38,7.45,10.37,9.3,9.63,2.06,5.21,5.94,9.64,23.22,33.24,14.67,8.12,6.28,8.78,20.91,0.57,1.31,19.51,6.41,13.18,13.58,5.75,6.9,12.76,3.99,5.43,3.83,5.35,2.89,7.54,22.87,7.52,0.51,11.46,15.11,12.68,18.91,3.75,4.51,0.79,3.32,9.6,9.39,7.37,11.03
NOX1,0.19,0.73,0,0.39,0,0,0,0,0,0.38,0,0,0.48,0,0,0,0.89,0.43,0.44,0,0.77,0,1.04,0,0,0,0,0,1.29,0,0,1.02,0.54,0.84,0,0.49,0,0,0.43,0,0,0.26,0,0,0.46,0,0.39,0.61,0,0.46,0,0,0,0.4,0,0,0,0,0,0,0,0.66,4.94,0,0,0
NOX3,0,0,0,0,0.28,0,0,1.7,0,0,0,1.29,0,0,5.7,0.18,0,0,0.44,1.71,0,0,0.52,0.57,0,0,0,0.53,0,0.45,0,1.02,0,3.35,0,0.49,0,0,0,0,0,0,0,1,2.78,0.58,0,0,0,0.46,0,0.89,0.57,0.4,0,0.22,1.19,0,0.25,3.01,0,0,0.27,1.37,0,0.53
NOX4,54.78,39.11,20.96,95.31,86.09,16.7,20.64,86.28,51.51,7.89,55.07,12.89,28.34,30.28,7.6,110.02,17.72,16.38,39.88,61.51,8.44,15.33,7.78,57.78,62.3,11.55,24.44,106.98,27.42,14.95,85.08,235.69,140.2,339.52,100.25,44.77,127.01,152.44,22.98,59.93,142.99,90.02,58.25,66.75,12.99,460.05,39.48,57.03,16.69,64.28,31.15,52.22,149.47,36.78,90.1,179.77,97.83,91.83,110.58,24.66,13.84,148.41,42.8,66.91,71.94,189.39
NQO1,43,65.55,159.77,96.89,203.21,39.09,74.29,31.45,118,73.82,143.08,58.43,98.7,52.61,34.69,165.31,29.23,15.09,1084.85,230.46,32.21,36.34,43.02,72.65,166.5,27.03,189.3,816.73,226.63,45.31,38.78,145.39,140.47,88.91,149.43,97.17,127.01,43.4,44.23,101.66,108.85,496.14,187.26,239.65,107.18,867.91,52.31,177.83,61,92.5,101.49,96.4,100.79,278.09,87.25,271.33,80.83,199.05,109.83,46.61,17.62,177.96,181.61,116.75,79.9,206.78
OGDH,209.31,599.24,232.28,384.92,287.36,166.57,375.69,265.97,577.19,444.09,436.16,373.72,471.41,520.64,508.97,502.21,142.77,286.4,528.55,559.69,295.99,498.3,288.07,389.98,586.55,150.6,336.21,475.96,676.41,434.94,259.92,393.21,374.14,393.52,459.07,464.68,378.64,298.88,302.94,349.31,330.68,480.14,1217.98,678.6,695.92,610.21,412.42,386.32,180.69,444.61,241.07,400.13,471.13,623.24,562.6,317.98,470.11,585.78,444.64,316.68,516.04,619.35,567.14,772.32,391.56,542.41
PARP1,1106.01,1409.49,576.21,678.41,934.14,340.28,1350.33,898.53,979.62,1230.9,620.72,1777.94,2130.77,2059.36,1349.69,1028.41,351.7,1072.02,851.97,922.92,1233.94,1017.67,923.67,652.13,1010.34,119.86,927.95,1569,793.22,1324.77,1040.72,962.39,1021.75,1051.6,1721.04,1464.01,657.6,575.5,1303.43,1716.39,836.63,971.85,1643.92,1430.1,1769.02,1541.31,1428.61,1334.95,494.2,1716.27,543.88,1958.86,1955.38,1455.93,1525.05,1093.59,2242.95,739.23,1526.56,1250.68,1458.75,1229.15,1457.27,1490.5,1005.96,834.33
PC,134.04,290.64,56.79,218.98,102.86,19.55,488.4,47.6,51.51,319.89,66.77,538.15,473.8,77.5,633.86,62.56,45.18,165.52,201.42,411.8,245.02,184.23,215.11,88.67,274.33,36.1,74.66,385.65,328.17,666.69,238.63,282.11,219.24,193.92,123.9,305.79,70.56,135.7,263.2,118.22,166.82,206.17,87.88,279.04,530.12,157.41,313.28,369.15,54.58,383.86,142.69,273.37,125.13,203.51,490.33,90.89,472.15,247.94,125.59,439.35,534.92,105.25,372.82,251.6,155.38,147.93
PDHA1,132.92,753.49,105.91,304.84,281.47,57.31,434.52,143.45,211.55,190.47,199.41,200.22,636.37,300.24,365.63,267.88,155.92,538.16,470.64,368.01,491.58,289.55,419.85,187.63,358.6,72,319.68,449.04,397.57,246.92,357.62,317.06,269.04,485.95,197.91,401.49,178.91,162.11,408.68,286.1,195.24,511.4,406.7,624.34,1036.82,413.08,656.76,336.96,143.4,264.77,257.49,573.51,186.12,566.08,605.09,284.09,660.36,928.29,304.21,383.71,521.07,417.35,615.88,427.76,457.87,439.23
PDK1,193.31,422.65,408.33,77.59,250.73,246.9,107.31,395.92,176.55,34.56,210.39,99.68,165.22,83.66,96.69,436.1,281.72,91.17,217.15,146.95,102,116.67,61.42,554.03,115.76,343.7,333.51,449.3,140.09,26.73,381.33,715.48,308.82,638.66,361.63,213.05,322.31,252.58,145.48,248.56,148.26,282.73,218.42,221.08,106.49,209.59,133.84,447.95,605.92,108.22,86.17,133.89,697.51,145.51,280.73,287.45,199.84,212.29,342.24,57.74,82.44,208.18,201.64,153.28,490.89,277.66
PFKFB1,1.12,2.94,1.35,2.17,1.68,0.76,1.38,0.43,0.44,2.25,2.52,0.86,3.36,1.54,3.33,2,0,1.72,4.87,3.63,1.53,1.7,0.52,0.57,1.36,0,1.52,0.53,1.29,0.45,0.89,2.81,0.54,2.93,2.81,4.92,0.91,0.52,1.95,2.8,1.6,4.66,1.02,5.52,1.86,2.03,1.97,2.45,0.86,0.46,0.25,1.79,1.15,3.23,3.79,1.34,4.18,1.08,1.5,1.8,0.63,1.33,1.65,2.73,1.18,1.87
PFKM,1148.63,1485.87,214.98,1503.93,301.32,170.23,1489.74,418.24,323.61,1290.07,382.08,1144.62,1589.49,1079.59,2185.49,201.14,339.3,1260.17,1267.44,1508.37,771.5,770.13,1209.79,572.9,1161.21,148.95,112.94,536.74,1272.83,1487.65,1199.37,490,486.92,1059.76,968.49,1274.34,478.91,476.92,873.07,295.9,748.63,490.71,342.84,870,1286.45,531.07,906.28,306.6,255.77,1416.58,785.55,1169.33,391.13,1371.04,1342.32,293.71,836.93,1775.82,217.15,1365.85,1849.24,469.81,1820.77,611.77,567.84,555.59
PGAM1,468.13,693.27,339.37,588.03,369.8,781.32,943.33,431.62,535.38,1233.15,609.75,734.29,667.59,326.93,1271.52,430.28,514.26,650.02,617.32,1519.69,426.78,585.34,901.38,356.96,1004.68,122.13,409.69,773.67,806.71,552.74,717.89,685.13,475.01,1879.16,461.18,503.83,353.04,304.87,820.61,368.41,458.76,554.6,527.79,909.4,736.14,660.07,521.54,291.58,398.1,609.09,512.48,625.28,584.7,698.66,686.65,397.59,793.98,732.21,372.01,710.29,678.4,230.09,789.26,513.11,249.43,382.52
PGD,638.81,561.26,523.48,543.52,1109.12,227.55,385.45,658.17,1307.85,306.18,555.57,795.95,680.32,1152.98,448.79,735.26,806.61,704.55,1157.75,766.15,551.78,779.5,491.9,466.22,572,343.08,713.07,990.53,677.54,1207.42,788.13,708.85,998.47,910.61,1161.72,1187,341.43,613.41,971.5,1258.21,637.5,1129.9,671.11,740.77,723.15,997.2,796.72,393.06,484.78,1276.91,527.3,1009.33,1108.98,549.71,767.27,984.34,679.45,657.66,569.15,1013.72,1023.58,838.36,601.07,1218.41,613.25,1103.97
PGK1,2215.19,5435.47,6350.52,1782.19,2185.53,7252.26,1334.28,1777.08,5298.33,1220.76,7084.96,591.64,1769.11,1702.91,1563.98,4879.1,4776.32,1245.08,1873.46,1938.32,1418.77,1668.58,751.33,5422.43,1084.87,5222.58,6213.52,4298.11,2422.06,1197.91,2926.74,5391.49,3589.51,5644.19,4317.82,1799.57,3011.88,1448.55,1345.06,2426.64,2764.47,3473,3542.55,1325.21,2361.55,2432.71,2007.99,4407.1,6022.84,1354.84,1512.06,1737.26,3905.61,1304.15,1258.55,2269.11,1733.22,1625.11,2741.16,1387.51,1509.72,2029.99,2237.48,1897.77,4481.71,2655.19
PGK2,0,0,0,0,0,0,0,0,0,0.38,0.36,0,0,0,0,1.09,5.32,0,0,0,1.53,0,1.56,0,0,0.41,0,0,0,0.45,0.89,0,0,0,0,0,0,0.26,0.87,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0.34,0,0
PKM,5009,6407.99,4416.14,5662.05,2772.24,7480.56,4630.88,6053.37,5286.01,3848.42,5048.03,1963.99,5388.75,6110.83,3501.44,7059.78,7170.91,2717.97,5350.71,3505.43,5555.43,2122.77,3858.48,6488.15,5742.64,5248.58,7095.43,3562.21,4670.4,2372.71,3295.22,2223.73,4670,4172.11,7273.19,3319.43,5240.98,3063.65,1951.03,3798.17,3895.33,6041.92,5743.9,3412.02,6381.22,4596.11,3826.08,3624.04,4909.88,2311.95,2501.59,2029.15,5844.39,4932.44,3155.69,3922.15,2681.11,5247.78,2462.21,1404.05,2985.78,3793.69,3879.38,2910.67,6632.5,5859.83
PRDX1,559.73,126.32,593.11,492.52,767.55,221.28,411.82,443.1,933.39,674.9,461.45,616.57,885.16,1081.39,549.28,748.71,416.82,1095.51,953.68,769.56,564.82,457.31,207.07,517.13,249.64,413.43,860.12,1506.93,526.1,1558.1,297.13,852.2,896.43,270.28,697.74,2194.42,445.68,563.47,616.59,725.17,1033.24,706.71,1303.9,931.99,466.79,2020.78,850.22,1018.84,402.81,1804.37,482.08,1217.76,1779,628.53,453.66,638.02,1064.51,388.38,449.31,859.45,654.17,869.24,81.75,1662.56,486.17,801.96
PRKAA1,145.26,114.57,116.73,221.94,120.47,62.63,145.37,100.31,273.19,83.78,118.78,141.57,174.1,208.63,154.43,247.33,66,225.44,207.4,243.49,170.64,264.28,108.07,138.15,184.4,85.62,115.97,167.47,121.67,214.07,150.67,242.83,216.26,171.33,263.5,279.96,163.66,118.97,166.72,136.64,137.49,145.89,169.37,178.67,179.11,340.9,192.67,187.03,82.83,180.83,93.45,151.3,186.4,123.28,269.67,187.15,189.7,146.93,94.07,270.34,250.78,259.97,150.61,334.9,211.39,273.38
PRKAA2,57.58,27.72,23.89,37.22,16.21,26.57,27.97,38.68,12.33,21.79,40.49,48.12,38.9,24.12,48.94,30.19,34.55,76.94,50.3,61.73,67.49,72.39,53.39,48.05,52.1,8.25,1.89,31.17,35.56,65.92,30.13,56.63,39.79,26.99,20.14,62.49,31.87,21.96,77.62,26.58,32.08,49.67,4.09,72.27,54.98,37.4,89.62,25.14,15.84,59.66,21.6,62.71,48.68,15.56,42.05,9.85,26.25,34.03,27.27,74.88,103.21,43.16,21.95,28.68,41.87,65.54
PTEN,419.71,364.45,292.05,1204.41,438.42,150.78,517.29,296.89,413.64,321.11,507.25,544.06,482.56,497.58,373.36,565.4,505.85,665.54,930.3,752.26,495.61,514.94,550.86,343.23,828.66,254.79,83.19,836.93,601.39,737.59,729.75,688.83,758.12,1625.52,1009.95,774.07,393.9,552.49,997.19,197.96,260.2,1171.94,841.51,1453.44,919.89,1620.16,1031.93,412.07,536.9,878.48,319.8,1202.25,430.36,706.94,1461.66,504.04,952.21,959.89,779.67,1542.98,1144.72,363.9,1096.38,754.47,287.9,568.3
RPIA,78.89,98.04,59.27,121.5,68.2,31.88,62.37,66.73,86.29,52.22,71.99,58.86,118.87,89.3,77.93,95.11,235.65,83.62,145.36,86.93,138.43,61.88,71.01,135.57,111.23,49.93,98.16,86.11,35.56,140.22,56.94,68.36,132.89,121.75,73.08,96.19,63.28,60.92,81.95,59.46,57.29,145.64,71.53,90.84,105.33,166.97,87.65,84.93,64.64,87.87,29.14,88.82,134.58,41.83,144.48,102.98,54.28,109.66,60.54,96.83,71.43,114.88,65.84,103.1,86.39,108.34
SDHA,437.47,1109.86,446.4,1476.06,578.86,332.21,1113.4,562.01,1650.58,1313.16,433.78,1063.26,1104.02,554.84,1602.13,870.41,354.25,1181.74,1543.3,1069.32,774.84,1153.86,1416.78,860.52,1295.29,455.34,457.81,638.15,708.93,1206.83,788.16,940.19,769.58,846.23,828.74,1080.52,602.38,633.32,1035.86,545.18,635.95,818.4,577.11,823.92,737.21,881.87,1283.12,711.61,281.55,879.43,612.96,728.12,671.46,1153.12,1342.61,428.87,1487.85,837.46,404.57,1282.13,767.76,687.68,945.02,773.57,896.63,907.84
SDHB,270.77,200.94,162,229.64,160.26,111.76,188.79,73.32,377.66,125.23,116.78,206.48,253.75,177.21,210.26,266.22,240.42,309.4,299.38,268.77,323.8,332.6,217.7,184.64,232.07,103.5,297.72,338.98,261.1,343.32,245.33,220.36,222.39,182.81,293.03,280.45,179.06,126.38,291.12,311.29,213.36,291.73,338.63,211.49,232.26,401.17,279.22,289.57,131.63,263.23,134.82,255.51,259.61,220.18,181.6,201.36,302.74,254.03,203.34,386.09,314.13,282.22,254.98,306.68,218.5,332.89
SDHC,815.34,1051.57,510.69,1319.17,513.61,282.77,1038.43,428.22,778.2,1132.66,649.02,838.11,1250.83,1098.64,1222.94,791.09,325.57,1099.44,1265.5,1511.15,763.55,1269.25,974.47,671.44,1071.22,293.98,733.82,1683.9,995.27,1349.57,825.35,894.35,966.6,1160.23,1223.79,1412.41,719.28,599.42,1023.86,1048.7,1002.82,1076.1,1410.17,981.48,1544.84,1411.37,1055.12,986.49,466.59,1125.56,639.03,1394.16,1012.91,1717.34,1523.39,820.75,1642.7,1032.07,901.25,1618.98,1150.46,1064.13,1380.25,1199.12,870.49,1284.66
SDHD,606.28,978.04,370.25,1018.11,257.99,235.52,599.38,450.75,709.07,838.32,573.93,477.57,654.86,663.61,1363.94,695.79,430.99,1002.83,778.63,752.69,451.32,881.41,605.67,400.15,996.75,368.05,445.88,890.69,805.64,934.45,507.18,599.17,774.36,913.96,917.67,1127.22,590.22,562.95,865.7,681.1,552.48,661.95,930.15,435.63,1135.42,838.05,845.48,760.07,333.03,739.05,477.31,895.08,497.36,730.19,785.92,782.19,862.58,1091.96,577.65,677.51,894.57,882.85,843.58,1024.16,529.81,711.81
SLC16A1 ,679.94,514.26,1164.37,1254.23,627.23,788.73,935.3,1763.69,1094.1,247.19,948.81,647.07,441.62,707.75,463.04,703.07,726.88,1064.26,935.73,702.07,1008.09,647.22,1634.05,787.42,703.62,586.52,1247.44,1831.56,1775.36,1454.57,1418.06,1192.47,922.96,243.71,1412.34,1812.85,758.66,1188.91,1134.11,1270.1,1022.47,833.97,286.63,731.24,630.35,542.08,1045.65,1739.35,664.57,1027.87,1198.79,802.91,2351.67,643.08,565.89,692.64,466.79,716.81,903.13,1212.49,1127.73,1367.27,561.29,1450.21,1440.83,1527.95
SLC16A3 ,394.28,59.67,587.48,73.06,328.99,614.51,57.55,428.44,3336.88,22.92,212.73,62.3,63.88,88.02,38.49,547.03,966.96,206.04,197.21,32.04,190.57,201.55,68.16,183.34,64.79,638.1,1472.18,734.84,115.67,132.07,158.87,359.14,487.46,83.68,494.44,83.64,551.3,394.56,143.09,312.22,208.07,238.76,845.85,72.02,35.03,398.88,137.79,664.1,828.51,77.23,52.75,88.37,617.91,37.99,82.51,637.13,239.51,168.8,537.37,122.69,62.93,219.14,55.96,402.84,263.58,506.11
SLC16A7 ,40.01,101.9,22.99,181.17,42.49,2.66,80.02,32.09,88.28,67.25,131.38,30.51,168.34,3.59,75.31,95.84,34.55,134.27,233.1,241.36,55.98,55.07,67.64,42.33,187.57,53.85,32.59,61.28,153.37,83.82,113.22,2468.35,17.32,398.09,141.7,15.5,62.14,5.75,40.76,152.03,10.54,217.81,30.66,119.7,217.85,129.87,206.29,132.76,22.26,137.36,38.18,91.05,14.32,142.08,275.04,184.47,129.15,196.08,188.63,177.72,98.8,33.87,323.72,173.77,87.27,47.08
SLC1A2 ,315.01,426.69,664.55,4048.43,1058.81,1182.33,6605.12,11210.55,92.46,23023.45,5049.83,5968.44,10053.48,7158.6,13809.76,559.58,14.17,2361.49,6913.73,17438.29,2399.25,4195.86,14163.74,4227.71,24892.03,554.96,4.17,2364.59,30657.58,3713.34,2435.52,2443.61,11090.9,3544.75,1611.66,11221.05,3259.53,2275.06,15088.54,1227.19,11295.28,239.53,4074.17,18068.85,11329.82,1777.86,7497.79,1386.15,441.55,12898.15,24641.58,3978.86,5221.32,20239.06,7476.03,188.05,6463.41,2625.24,1696.93,5824.28,3286.28,6202.19,10860.12,7227.17,3576.88,5524.65
SLC25A5 ,1339.32,3239.8,428.84,4373.95,344.36,1042.08,1136.17,855.6,2280.21,1218.88,2307.6,931.72,2165.59,947.18,1698.93,1468.33,374.29,1526.12,2227.76,2867.44,1592.09,1260.66,863.54,1069.44,3559.76,237.87,1857.05,1674.39,1672.76,1204.03,937.91,1927.85,1793.95,2395.24,2706.16,1888.13,961.02,638.77,1985.5,1288.52,2469.55,1956.89,1571.88,1281.8,2719.76,2561.42,1862.31,973.16,474.29,1041.51,1450.26,1274.66,1310.84,1024.04,1740.97,1106.8,1216.62,5704.23,1134.29,901.55,2474.15,1769.35,2022.95,1721.62,892.45,1148.37
SLC2A1 ,58.14,72.89,185.01,248.52,57.58,495.9,469.6,526.83,211.33,122.09,188.61,124.17,206.52,189.64,87.9,214.41,864.19,216.39,427.21,210.6,252.69,292.38,308.41,303.76,276.82,1015.01,382.97,453.53,276.33,134.33,614.64,327,415.47,126.56,140.77,249.7,366.93,306.97,269.92,136.17,196.84,258.42,91.71,182.18,131.08,224.08,222.28,472.47,331.11,202.57,180.12,200.62,404.02,263.54,312.03,84.4,272.91,352.19,246.92,223.13,130.58,335.34,347.58,185.37,518.31,306.02
