ROI,N13_02,N13_03,N13_04,N13_06,N13_08,N13_09,N13_10,N13_11,N13_13,N13_15,N13_16,N13_17,N13_18,N14_01,N14_02,N14_03,N14_04,N14_05,N14_06,N14_07,N14_08,N14_09,N14_10,N14_11,N14_12,N15_01,N15_02,N15_03,N15_04,N15_05,N15_06,N15_07,N15_09,N15_10,N15_12,N15_13,N15_14,N15_15,N15_16,N15_17,N15_18,N16_01,N16_02,N16_03,N16_04,N16_05,N16_06,N16_07,N16_09,N16_10,N16_11,N16_12,N16_13,N16_14,N16_15,N16_16,N16_17,N16_18,N16_19,N17_01,N17_02,N17_03,N17_04,N17_05,N17_06,N17_07
,A,O,G,O,G,G,O,G,G,O,G,O,O,G,O,G,G,O,O,O,A,A,G,G,O,G,G,G,G,A,A,G,G,O,G,G,G,G,A,G,G,G,G,A,O,G,A,G,G,A,G,A,G,O,O,G,O,O,G,O,A,G,O,G,G,G
CPT1A,106.38,835.38,152.11,564,87.21,52.95,319.87,198.92,1194.48,317.63,320.17,270.9,332.35,391.09,394.14,884.56,125.8,456.91,516.5,291.34,248.48,388.05,208.11,125.85,435.4,90.36,80.91,209.2,473.62,257.12,349.2,207.37,221.4,189.53,247.8,254.62,215.78,180.68,212.69,139.9,249.09,369.91,546.19,250.94,683.01,562.66,469.62,176.3,115.79,188.23,138.92,380.48,106.23,460.59,285.79,250.06,224.59,677.65,313.97,212.31,452.48,347.96,324.26,365.97,153.9,189.12
CS,1501.28,746.45,257.74,983.04,388.96,200.63,684.45,323.89,425.49,464.49,347.29,548.42,648.3,764.56,726.4,452.49,266.46,973.09,699.5,530.5,1029.44,472.64,676.26,390.42,750.75,130.94,243.09,360.31,481.17,777.44,869.46,344.51,420.46,710.53,657.06,530.38,310.85,323.24,387,497.9,442.62,542.17,541.67,577.71,885.67,590.91,605.17,263.2,191.89,688.81,259.69,725.95,405.07,539.35,821.96,344.06,689.18,1197.75,302.24,717.4,849.97,454.35,673.07,547.61,349.01,446.56
CYCS,577.91,1664.33,627.59,639.77,532.13,382.88,526.24,688.56,1288.37,652.5,764.43,388.04,763.35,1008.19,765,1105.25,135.1,372.86,755.31,1342.14,570.86,365.84,307.44,750.81,695.18,232.61,844.2,1107.08,2078.9,519.05,266.16,1112.44,517.3,1343.79,1699.84,672.84,597.79,318.67,533.88,1405.46,682.01,583.96,752.03,1152.44,855.51,1241.79,817.5,633.9,391.68,879.29,1053.84,653.57,1191.87,715.94,869.38,882.88,767.66,1440.24,997.57,608.58,674.55,1597.03,1896,1091.59,685.11,975.37
D2HGDH,91.78,77.11,34.01,210.8,34.3,24.41,209.6,39.41,77.55,104.93,85.4,88.67,167.01,55.52,134.88,96.39,29.8,122.46,162.46,198.83,86.1,100.13,112.86,51.61,95.14,36.57,35.75,137.11,74.1,94.53,121.66,117.45,108.26,108.4,90.28,213.47,67.87,112.79,123.97,52.99,62.91,114.17,56.55,111.44,86.26,93.69,88.74,82.36,72.87,125.71,43.28,127.91,76.4,169.67,245.29,79.37,244.98,132.34,78.8,173.46,174.49,80.89,146.27,103.81,128.25,129.98
EGLN1,166.39,218.12,163.38,272.55,56.18,129.43,237.55,153.65,150.36,237.43,61.37,231.8,327.79,138.57,324.3,237.51,176.29,293.76,291.82,238.58,183.29,220,152.91,324.06,275.69,90.98,54.57,209.2,130.67,253.26,152,361.44,223.84,184.3,253.42,323.75,174.81,135.44,161.09,230.84,210.13,110.97,187.51,244.67,258.91,305.54,307.16,191.01,115.58,241.18,81.39,280.28,432.94,247.77,472.63,128.05,410.11,213.37,113.08,364.17,277.84,249.68,124,267.31,204.02,107
ENO1,12496.04,14927.01,19163.55,4454.1,11092.03,18353.07,8368.42,18363.48,22402.35,14631.62,8183.33,10232.62,9399.82,6066.69,9891.6,16900.55,16845.36,9058.68,7325.2,9166.83,8613.44,8450.19,8567.29,15743.57,9952.55,12381.94,26400.36,8127.1,8897.81,11460.11,11164.34,13928.05,13340.1,7664.14,10814.81,11092.14,11274.76,10734.16,6542.96,13184.58,6951.97,14169.81,5566.09,7731.93,8598.7,7525.39,9148.08,10649.52,15627.71,8859.53,9817.95,7415,11352.62,5224.48,3904.94,11192.67,5499.71,4145.02,9509.37,5938.25,8788.05,10999.59,4147.13,9000.33,9655.68,15710.74
EPAS1,183.03,266.04,1464.53,1405.08,326.19,3584,2997.14,1968.56,949.24,1360.51,2268.91,807.12,1455.49,1091.91,1243.96,613.59,837.17,387.51,1749.59,1116.43,581.31,1274.85,789.68,1196.72,1408.36,946.11,530.58,1158.79,1187.57,535.98,1068.42,1172.06,838.78,379.47,1054.92,731.64,1884.48,643.74,514.91,835.23,857.02,825.96,712.75,484.56,1421.94,1901.93,674.92,970.4,861.26,318.88,1269.64,393.87,985.57,1135.6,1370.14,941.81,704.5,1063.06,671.47,377.4,315.6,1478.83,1915.69,656.49,2194.12,1231.83
FASN,116.53,144.13,34.93,137.36,105.98,42.07,245.16,58.8,1277.55,88.6,52.49,217.87,235.54,72.49,327.27,229.14,49.46,91.06,134.42,343.17,306.12,88.47,123.97,115.6,106.85,14.1,73.59,253.8,168.87,370.95,385.35,187.48,93.83,309.25,219.19,161.14,47.42,134.66,200,177.99,105.03,169,68.12,239.44,266.03,68.36,125.35,72.05,65.81,337.61,247.24,282.85,140.3,217.93,279.78,109.88,401.42,359.44,297.08,227.54,511.06,156.88,478.94,170.12,145.94,292.02
FBP1,31.03,6.61,36.96,44.11,29.35,14.99,15.59,28.05,140.45,15.59,26.82,6.23,7.68,12.32,4.28,84.02,190.47,25.65,54.95,12.39,42.18,22.99,9.85,13.73,18.35,79.63,138.71,14.26,24.63,17.67,10.19,109.68,90.94,10.25,28.57,33.95,37.33,30.33,12.14,39.17,38.96,51.22,108.83,18.07,5.1,267.85,38.3,130,32.96,14.34,9.29,24.55,38.37,7.48,29.72,49.25,3.58,39.97,53.04,20.45,14.47,20.59,4.12,52.92,30.07,51.89
FH,159.28,227.6,100.96,183.73,99.32,62.88,225.09,115.04,191.82,210,136.78,172.8,243.18,233.95,300.3,200.95,91.54,179.17,254.82,235.38,228.03,137.96,141.76,156.36,162.05,34.87,127.53,225.4,161.01,183.42,112.41,175.92,165.28,248.31,288.95,294.64,108.8,106.94,173.88,128.56,208.6,403.28,167.33,321.95,289.85,268.34,181.94,175.07,62.43,153,169.74,206.94,227.25,170.57,252.81,184.84,277.88,264.14,146.27,204.59,175.68,218.58,248,184.24,163.93,219.08
